construct_id,construct_name,category,is_exclude,mapped_cfn_id,mapped_tf_id,mapped_arm_id,mapped_bicep_id
ir_1,metadata,section,,cfn_5,"tf_1, tf_2",arm_4,bicep_2
ir_2,parameters,section,,"cfn_2, cfn_4","tf_4, tf_5, tf_7","arm_5, arm_6","bicep_3, bicep_4, bicep_5"
ir_3,conditions,section,,"cfn_7, cfn_6","tf_17, tf_23, tf_40",arm_24,bicep_43
ir_4,resources,section,,cfn_1,"tf_3, tf_8",arm_8,"bicep_6, bicep_7"
ir_5,outputs,section,,cfn_3,tf_6,arm_9,bicep_8
ir_6,metadata.template_id,section attribute,TRUE,,,,
ir_7,metadata.template_type,section attribute,TRUE,,,,
ir_8,metadata.cloud_service_provider,section attribute,,cfn_9,tf_11,arm_2,
ir_9,metadata.file_name,section attribute,TRUE,,,,
ir_10,metadata.description,section attribute,,cfn_10,,,bicep_44
ir_11,metadata.additional_info,section attribute,,"cfn_9, cfn_36","tf_10, tf_11, tf_12, tf_13, tf_14","arm_1, arm_2, arm_3",bicep_1
ir_12,parameters.id,section attribute,TRUE,,,,
ir_13,parameters.name,section attribute,,"cfn_11, cfn_41","tf_45, tf_46, tf_47","arm_10, arm_34","bicep_10, bicep_40"
ir_14,parameters.type,section attribute,,cfn_13,"tf_21, tf_27",arm_11,"bicep_11, bicep_14"
ir_15,parameters.param_type,section attribute,,,"tf_4, tf_5, tf_7","arm_5, arm_6",
ir_16,parameters.default,section attribute,,cfn_14,tf_28,arm_12,"bicep_12, bicep_41"
ir_17,parameters.constraints,section attribute,,"cfn_15, cfn_16, cfn_17, cfn_18, cfn_19, cfn_20, cfn_21, cfn_22","tf_23, tf_24, tf_25, tf_26, tf_30, tf_31, tf_32","arm_13, arm_14, arm_15, arm_16, arm_17, arm_35","bicep_15, bicep_16, bicep_17, bicep_18, bicep_19"
ir_18,parameters.description,section attribute,,cfn_12,tf_29,arm_18,"bicep_13, bicep_20"
ir_19,parameters.depend_parameter,section attribute,TRUE,,tf_22,,
ir_20,parameters.depend_resource,section attribute,TRUE,,tf_22,,
ir_21,parameters.depend_condition,section attribute,TRUE,,tf_22,,
ir_22,conditions.id,section attribute,TRUE,,,,
ir_23,conditions.name,section attribute,,"cfn_42, cfn_43",,,
ir_24,conditions.condition,section attribute,,cfn_37,"tf_17, tf_23, tf_40",arm_24,bicep_43
ir_25,conditions.ruled_para,section attribute,,cfn_37,tf_32,arm_24,
ir_26,conditions.constraint,section attribute,,cfn_38,tf_32,"arm_36, arm_37",bicep_45
ir_27,conditions.description,section attribute,,cfn_38,,,
ir_28,conditions.depend_parameter,section attribute,TRUE,,,,
ir_29,conditions.depend_condition,section attribute,TRUE,,,,
ir_30,resources.id,section attribute,TRUE,,,,
ir_31,resources.name,section attribute,,cfn_39,"tf_9, tf_48","arm_34, arm_21","bicep_22, bicep_33, bicep_34"
ir_32,resources.type,section attribute,,cfn_23,tf_15,arm_19,bicep_21
ir_33,resources.arguments,section attribute,TRUE,,,,
ir_34,resources.arguments.depends_on,section attribute,,cfn_26,"tf_16, tf_43",arm_23,"bicep_23, bicep_37"
ir_35,resources.arguments.condition,section attribute,,cfn_25,"tf_17,  tf_40",arm_24,"bicep_24, bicep_38"
ir_36,resources.arguments.creation_policy (removed),section attribute,TRUE,,,,
ir_37,resources.arguments.update_policy (removed),section attribute,TRUE,,,,
ir_38,resources.arguments.deletion_policy (removed),section attribute,TRUE,,,,
ir_39,resources.arguments.update_replace_policy (removed),section attribute,TRUE,,,,
ir_40,resources.arguments.value,section attribute,,"cfn_27, cfn_28, cfn_29, cfn_30","tf_17, tf_18, tf_19, tf_20, tf_41, tf_42","arm_20, arm_22, arm_25","bicep_25, bicep_26, bicep_27, bicep_29, bicep_36"
ir_41,resources.arguments.resource_refs,section attribute,TRUE,,,,
ir_42,resources.arguments.parameter_refs,section attribute,TRUE,,,,
ir_43,resources.properties,section attribute,,cfn_24,"tf_38, tf_39, tf_42",arm_26,bicep_28
ir_44,resources.properties.name,section attribute,TRUE,,,,
ir_45,resources.properties.value,section attribute,TRUE,,,,
ir_46,resources.properties.resource_refs,section attribute,TRUE,,,,
ir_47,resources.properties.parameter_refs,section attribute,TRUE,,,,
ir_48,resources.properties.depend_conditions,section attribute,TRUE,,,,
ir_49,outputs.id,section attribute,TRUE,,,,
ir_50,outputs.name,section attribute,,cfn_40,tf_44,arm_31,bicep_42
ir_51,outputs.description,section attribute,,cfn_32,tf_34,,bicep_32
ir_52,outputs.value,section attribute,TRUE,,,,
ir_53,outputs.value.value,section attribute,,cfn_33,tf_33,"arm_27, arm_28",bicep_31
ir_54,outputs.value.depend_conditions,section attribute,TRUE,,,,
ir_55,outputs.source_resource,section attribute,TRUE,,,,
ir_56,outputs.source_parameter,section attribute,TRUE,,,,
ir_57,outputs.export_name,section attribute,TRUE,,,,
ir_58,outputs.export_name.name,section attribute,,cfn_34,tf_44,arm_31,bicep_42
ir_59,outputs.export_name.depend_parameter,section attribute,TRUE,,,,
ir_60,outputs.export_name.depend_resource,section attribute,TRUE,,,,
ir_61,outputs.export_name.depend_conditions,section attribute,TRUE,,,,
ir_62,outputs.depend_conditions,section attribute,,cfn_35,tf_36,arm_29,bicep_43
