construct_id,construct_name,is_exclude,mapped_bicep_id,ontology_id,ontology_name,,
ir_1,metadata,,bicep_2,,targetScope,,
ir_2,parameters,,"bicep_3, bicep_4, bicep_5",,metadata,,
ir_3,conditions,,bicep_43,,type,,
ir_4,resources,,"bicep_6, bicep_7",,param,,
ir_5,outputs,,bicep_8,,var,,
ir_6,metadata.template_id,TRUE,,,resource,,
ir_7,metadata.template_type,TRUE,,,module,,
ir_8,metadata.cloud_service_provider,,,,output,,
ir_9,metadata.file_name,TRUE,,bicep_9,func,,
ir_10,metadata.description,,bicep_44,,SymbolicName,,
ir_11,metadata.additional_info,,bicep_1,,param.type,,
ir_12,parameters.id,TRUE,,,param.default,,
ir_13,parameters.name,,"bicep_10, bicep_40",,param.@description,,
ir_14,parameters.type,,"bicep_11, bicep_14",,param.@secure,,
ir_15,parameters.param_type,,,,param.@minLength,,
ir_16,parameters.default,,"bicep_12, bicep_41",,param.@maxLength,,
ir_17,parameters.constraints,,"bicep_15, bicep_16, bicep_17, bicep_18, bicep_19",,param.@minValue,,
ir_18,parameters.description,,"bicep_13, bicep_20",,param.@maxValue,,
ir_19,parameters.depend_parameter,TRUE,,,param.@allowed,,
ir_20,parameters.depend_resource,TRUE,,,param.@metadata,,
ir_21,parameters.depend_condition,TRUE,,,resource.type,,
ir_22,conditions.id,TRUE,,,resource.name,,
ir_23,conditions.name,,,,resource.dependsOn,,
ir_24,conditions.condition,,bicep_43,,resource.condition,,
ir_25,conditions.ruled_para,,,,resource.existing,,
ir_26,conditions.constraint,,bicep_45,,resource.parent,,
ir_27,conditions.description,,,,resource.scope,,
ir_28,conditions.depend_parameter,TRUE,,,resource.properties,,
ir_29,conditions.depend_condition,TRUE,,,resource.for,,
ir_30,resources.id,TRUE,,bicep_30,output.type,,
ir_31,resources.name,,"bicep_22, bicep_33, bicep_34",,output.value,,
ir_32,resources.type,,bicep_21,,output.@description,,
ir_33,resources.arguments,TRUE,,,module.symbolic-name,,
ir_34,resources.arguments.depends_on,,"bicep_23, bicep_37",,module.path,,
ir_35,resources.arguments.condition,,"bicep_24, bicep_38",bicep_35,module.params,,
ir_36,resources.arguments.creation_policy,TRUE,,,module.scope,,
ir_37,resources.arguments.update_policy,TRUE,,,module.dependsOn,,
ir_38,resources.arguments.deletion_policy,TRUE,,,module.condition,,
ir_39,resources.arguments.update_replace_policy,TRUE,,bicep_39,module.for,,
ir_40,resources.arguments.value,,"bicep_25, bicep_26, bicep_27, bicep_29, bicep_36",,var.name,,
ir_41,resources.arguments.resource_refs,TRUE,,,var.value,,
ir_42,resources.arguments.parameter_refs,TRUE,,,output.name,,
ir_43,resources.properties,,bicep_28,,if,,
ir_44,resources.properties.name,TRUE,,,metadata.description,,
ir_45,resources.properties.value,TRUE,,,validate,,
ir_46,resources.properties.resource_refs,TRUE,,,,,
ir_47,resources.properties.parameter_refs,TRUE,,,,,
ir_48,resources.properties.depend_conditions,TRUE,,,,,
ir_49,outputs.id,TRUE,,,,,
ir_50,outputs.name,,bicep_42,,,,
ir_51,outputs.description,,bicep_32,,,,
ir_52,outputs.value,TRUE,,,,,
ir_53,outputs.value.value,,bicep_31,,,,
ir_54,outputs.value.depend_conditions,TRUE,,,,,
ir_55,outputs.source_resource,TRUE,,,,,
ir_56,outputs.source_parameter,TRUE,,,,,
ir_57,outputs.export_name,TRUE,,,,,
ir_58,outputs.export_name.name,,bicep_42,,,,
ir_59,outputs.export_name.depend_parameter,TRUE,,,,,
ir_60,outputs.export_name.depend_resource,TRUE,,,,,
ir_61,outputs.export_name.depend_conditions,TRUE,,,,,
ir_62,outputs.depend_conditions,,bicep_43,,,,
