template_language,smell_type,occurrence,percentage
arm,always_false_conditions,4,3.7383177570093453
arm,always_true_conditions,3,2.803738317757009
arm,cascading_provisioning_failures,3,2.803738317757009
arm,circular_dependencies,3,2.803738317757009
arm,dead_resources,0,0.0
arm,hard_coded_secrets,5,4.672897196261682
arm,no_sourced_conditions,5,4.672897196261682
arm,no_sourced_outputs,8,7.476635514018691
arm,unprotected_secrets,11,10.2803738317757
arm,unrestricted_ip_addresses,19,17.75700934579439
arm,unused_conditions,0,0.0
arm,unused_parameters,46,42.99065420560748
bicep,always_false_conditions,3,3.225806451612903
bicep,always_true_conditions,4,4.301075268817205
bicep,cascading_provisioning_failures,5,5.376344086021505
bicep,circular_dependencies,0,0.0
bicep,dead_resources,3,3.225806451612903
bicep,hard_coded_secrets,4,4.301075268817205
bicep,no_sourced_conditions,27,29.03225806451613
bicep,no_sourced_outputs,11,11.827956989247312
bicep,unprotected_secrets,10,10.75268817204301
bicep,unrestricted_ip_addresses,10,10.75268817204301
bicep,unused_conditions,0,0.0
bicep,unused_parameters,16,17.20430107526882
cloudformation,always_false_conditions,4,4.040404040404041
cloudformation,always_true_conditions,4,4.040404040404041
cloudformation,cascading_provisioning_failures,12,12.121212121212121
cloudformation,circular_dependencies,6,6.0606060606060606
cloudformation,dead_resources,7,7.07070707070707
cloudformation,hard_coded_secrets,12,12.121212121212121
cloudformation,no_sourced_conditions,6,6.0606060606060606
cloudformation,no_sourced_outputs,4,4.040404040404041
cloudformation,unprotected_secrets,9,9.090909090909092
cloudformation,unrestricted_ip_addresses,10,10.1010101010101
cloudformation,unused_conditions,3,3.0303030303030303
cloudformation,unused_parameters,22,22.22222222222222
terraform,always_false_conditions,6,5.555555555555555
terraform,always_true_conditions,13,12.037037037037036
terraform,cascading_provisioning_failures,2,1.8518518518518516
terraform,circular_dependencies,2,1.8518518518518516
terraform,dead_resources,1,0.9259259259259258
terraform,hard_coded_secrets,3,2.7777777777777777
terraform,no_sourced_conditions,1,0.9259259259259258
terraform,no_sourced_outputs,3,2.7777777777777777
terraform,unprotected_secrets,16,14.814814814814813
terraform,unrestricted_ip_addresses,15,13.88888888888889
terraform,unused_conditions,0,0.0
terraform,unused_parameters,46,42.592592592592595
