template_name,template_language,tool,smell_type,element_name
template_00229_azuredeploy.json,arm,checkov,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_nsgName
template_00236_azuredeploy.json,arm,checkov,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_nsgName
template_04068_infrastructure.json,arm,arm-ttk,unused_parameters,templateLinkBase
template_04068_infrastructure.json,arm,arm-ttk,unused_parameters,templateLinkAccessToken
template_04068_infrastructure.json,arm,arm-ttk,unused_parameters,variables.subscription
template_04068_infrastructure.json,arm,arm-ttk,unused_parameters,variables.sitecoreResourceGroup
template_04068_infrastructure.json,arm,arm-ttk,unused_parameters,variables.resourcesApiVersion
template_07599_azuredeploy.json,arm,arm-ttk,unused_parameters,variables.masterHAproxyInstanceIndex
template_07796_deployToWorkspaceWithAuditLogs.json,arm,arm-ttk,unused_parameters,deploymentNameSuffix
template_07796_deployToWorkspaceWithAuditLogs.json,arm,arm-ttk,unused_parameters,linkedWorkspaceSKU
template_07796_deployToWorkspaceWithAuditLogs.json,arm,arm-ttk,unused_parameters,variables.SchedulerFrequency
template_08178_cluster.json,arm,arm-ttk,unused_parameters,variables.cltemplate
template_16184_azuredeploy.json,arm,checkov,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_networkSecurityGroupName
template_16528_azuredeploy.json,arm,arm-ttk,unused_parameters,variables.publicIPAddressType
template_16528_azuredeploy.json,arm,arm-ttk,unused_parameters,variables.lbAPIRuleID
template_16528_azuredeploy.json,arm,arm-ttk,unused_parameters,variables.apiProbeID
template_16528_azuredeploy.json,arm,arm-ttk,unused_parameters,variables.builderProbeID
template_16599_azuredeploy.json,arm,checkov,unrestricted_ip_addresses,nsg-jump-srv
template_18622_azuredeploy.json,arm,arm-ttk,unused_parameters,variables.LogAnalyticsApiVersion
template_19545_azuredeployv2.json,arm,arm-ttk,hard_coded_secrets,sharedKey
template_26327_azuredeploy.json,arm,checkov,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_boshNetworkSecurityGroup
template_26327_azuredeploy.json,arm,checkov,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_devboxNetworkSecurityGroup
template_26998_azuredeploy.json,arm,checkov,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_nvaArray
template_26998_azuredeploy.json,arm,checkov,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_vmArray
template_27371_azuredeploy.json,arm,checkov,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_networkSecurityGroupName
template_37148_virtual-machine-with-plan.json,arm,arm-ttk,unused_parameters,computeApiVersion
template_37148_virtual-machine-with-plan.json,arm,arm-ttk,unused_parameters,storageAccountName
template_37148_virtual-machine-with-plan.json,arm,arm-ttk,unused_parameters,vmStorageAccountContainerName
template_37148_virtual-machine-with-plan.json,arm,arm-ttk,hard_coded_secrets,adminPassword
template_37606_jumpbox-resources.json,arm,arm-ttk,unused_parameters,variables.storageAccountName
template_37606_jumpbox-resources.json,arm,arm-ttk,unused_parameters,subnet
template_37715_azuredeploy.json,arm,arm-ttk,unprotected_secrets,tomcatPassword
template_37715_azuredeploy.json,arm,arm-ttk,unused_parameters,variables.vmStorageAccountContainerName
template_37715_azuredeploy.json,arm,checkov,unrestricted_ip_addresses,nsg-jump-srv
template_40821_azuredeploy.json,arm,checkov,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_puppetNsgName
template_46992_azuredeploy.json,arm,checkov,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_networkSecurityGroupName
template_59725_ingestEvents.json,arm,arm-ttk,unused_parameters,variables.identityName
template_59991_01DEF.json,arm,arm-ttk,unused_parameters,reportingSqlDatabaseName
template_59991_01DEF.json,arm,arm-ttk,hard_coded_secrets,msDeployPackageUrl
template_59991_01DEF.json,arm,arm-ttk,hard_coded_secrets,sqlServerPassword
template_60018_azuredeploy.json,arm,arm-ttk,unused_parameters,templateLinkBase
template_60018_azuredeploy.json,arm,arm-ttk,hard_coded_secrets,sqlServerPassword
template_60018_azuredeploy.json,arm,arm-ttk,hard_coded_secrets,jssMsDeployPackageUrl
template_60018_azuredeploy.json,arm,arm-ttk,unused_parameters,variables.resourcesApiVersion
template_76419_Azuredeploy.json,arm,arm-ttk,hard_coded_secrets,ProofPointPassword
template_76419_Azuredeploy.json,arm,checkov,hard_coded_secrets,ProofPointPassword
