template_name,template_language,tool,smell_type,element_name
template_00683_Template,bicep,bicep-linter,unused_parameter,p1
template_00915_main.bicep,bicep,checkov,unrestricted_ip_addresses,securityGroup
template_05923_aksCluster.bicep,bicep,bicep-linter,unused_parameter,monitoringEnabled
template_09029_springappsConsumption.bicep,bicep,bicep-linter,cascading_provisioning_failure,applicationInsights
template_12720_ai-textanalytics.bicep,bicep,bicep-linter,unused_parameter,principalIds
template_13700_main.bicep,bicep,bicep-linter,unprotected_secret,adminPassword
template_13700_main.bicep,bicep,bicep-linter,hard_coded_secrets,adminPassword
template_13700_main.bicep,bicep,checkov,unrestricted_ip_addresses,nsg
template_13722_aksCluster.bicep,bicep,bicep-linter,unused_parameter,monitoringEnabled
template_14531_profiles-FrontDoor.bicep,bicep,bicep-linter,unused_parameter,location
template_15475_main.bicep,bicep,bicep-linter,unused_parameter,functionAppRuntimeVersion
template_15475_main.bicep,bicep,bicep-linter,unused_parameter,maximumInstanceCount
template_15475_main.bicep,bicep,bicep-linter,unused_parameter,instanceMemoryMB
template_17944_python-app-containerapp.module.bicep,bicep,bicep-linter,unused_parameter,aca_env_outputs_azure_container_apps_environment_default_domain
template_18069_AzureContainerAppsTests.SecretOutputHandling.verified.bicep,bicep,bicep-linter,unused_parameter,outputs_azure_container_apps_environment_default_domain
template_18069_AzureContainerAppsTests.SecretOutputHandling.verified.bicep,bicep,bicep-linter,unprotected_secret,mydb_secretoutputs
template_18069_AzureContainerAppsTests.SecretOutputHandling.verified.bicep,bicep,bicep-linter,hard_coded_secrets,value
template_19015_postgres.bicep,bicep,bicep-linter,unused_parameter,principalId
template_19015_postgres.bicep,bicep,bicep-linter,unused_parameter,principalType
template_19015_postgres.bicep,bicep,bicep-linter,cascading_provisioning_failure,flexibleServers
template_20501_basic-dependent-resources.bicep,bicep,bicep-linter,cascading_provisioning_failure,accounts
template_20501_basic-dependent-resources.bicep,bicep,bicep-linter,cascading_provisioning_failure,accounts
template_25056_clientVm.bicep,bicep,bicep-linter,cascading_provisioning_failure,publicIPAddresses
