template_name,template_language,tool,smell_type,element_name
template_00376_test.json,cloudformation,cfn-lint,hard_coded_secrets,MyDB
template_00508_TheLambdalithStack.yml,cloudformation,cfn-lint,unused_parameters,AssetParameters942dc8810017b8ceebf761d04a03cd725053f34f261656610cacf5346246bcd9ArtifactHashE439B6C2
template_01425_database.yml,cloudformation,cfn-lint,unused_parameters,Namespace
template_01425_database.yml,cloudformation,cfn-lint,unused_parameters,EnvironmentName
template_02308_parity-deployment-remote-ethstats.json,cloudformation,checkov,unrestricted_ip_addresses,ETHRPCSecurity
template_03517_tailscale-demo.yaml,cloudformation,checkov,unrestricted_ip_addresses,NatSecurityGroup:
template_03836_functions_ref.yaml,cloudformation,cfn-lint,circular_dependencies,mySecurityGroupVpc1
template_04839_v5_SparkUI.cf.yml,cloudformation,cfn-lint,unused_parameters,AutoTerminateCluster
template_05140_EC2-SecurityGroup-App-App1-php.yaml,cloudformation,cfn-lint,unused_parameters,Department
template_06358_api_custom_domain_private_endpoint_route53_hostedzonename.json,cloudformation,cfn-lint,unused_parameters,CertificateArn
template_06358_api_custom_domain_private_endpoint_route53_hostedzonename.json,cloudformation,cfn-lint,unused_parameters,DomainName
template_06358_api_custom_domain_private_endpoint_route53_hostedzonename.json,cloudformation,cfn-lint,unused_parameters,HostedZoneId
template_08937_vpc-template.json,cloudformation,trivy,unrestricted_ip_addresses,BastionSG
template_08937_vpc-template.json,cloudformation,checkov,unrestricted_ip_addresses,BastionSG
template_09578_340804757.yaml,cloudformation,cfn-lint,unused_parameters,AssetParameters240c16cdf5d2cff87e7d678a663f0b8495f576a5ae13a28cdc8d4125b0046512ArtifactHash6E7106E0
template_11072_h2-service.yaml,cloudformation,cfn-lint,unused_parameters,VPC
template_11072_h2-service.yaml,cloudformation,cfn-lint,unused_parameters,Listener
template_11072_h2-service.yaml,cloudformation,cfn-lint,unused_parameters,Path
template_11599_template.yml,cloudformation,cfn-lint,unused_parameters,RepositoryEnableIssues
template_11599_template.yml,cloudformation,cfn-lint,always_true_conditions,Cond.CreateCodeBuildResources
template_11599_template.yml,cloudformation,cfn-lint,always_false_conditions,Cond.CreateWebSiteS3Bucket
template_12659_qs-gwlb.yaml,cloudformation,cfn-lint,unused_conditions,Cond.2AZs
template_12659_qs-gwlb.yaml,cloudformation,cfn-lint,unused_conditions,Cond.ProvidedResourcesTag
template_12659_qs-gwlb.yaml,cloudformation,cfn-lint,always_false_conditions,Cond.EncryptedProtocol
template_13424_sagemaker-studio-gpu.yaml,cloudformation,cfn-lint,unused_parameters,ParsedStackId
template_13835_stack-ecs-cluster.yaml,cloudformation,cfn-lint,circular_dependencies,LaunchConfiguration
template_14064_api_with_swagger_authorizer_none.yaml,cloudformation,cfn-lint,circular_dependencies,MyApiWithLambdaRequestAuth
template_14376_api_with_basic_custom_domain_http.json,cloudformation,cfn-lint,unused_parameters,MyDomainName
template_14376_api_with_basic_custom_domain_http.json,cloudformation,cfn-lint,unused_parameters,MyDomainCert
template_14528_basic_layer.json,cloudformation,cfn-lint,unused_parameters,DeletePolicy
template_15595_function_with_deployment_alarms_and_hooks.yaml,cloudformation,cfn-lint,circular_dependencies,NewVersionErrorsAlarm
template_17116_01_A4L_vpn_demo.yaml,cloudformation,trivy,unrestricted_ip_addresses,VPCASecurityGroup
template_17116_01_A4L_vpn_demo.yaml,cloudformation,trivy,unrestricted_ip_addresses,VPCBSecurityGroup
template_17116_01_A4L_vpn_demo.yaml,cloudformation,checkov,unrestricted_ip_addresses,VPCASecurityGroup
template_17116_01_A4L_vpn_demo.yaml,cloudformation,checkov,unrestricted_ip_addresses,VPCBSecurityGroup
template_19229_cloudformation.json,cloudformation,cfn-lint,unused_conditions,Cond.DevMode
template_19229_cloudformation.json,cloudformation,cfn-lint,cascading_provisioning_failures,EventsTopic
template_19229_cloudformation.json,cloudformation,cfn-lint,cascading_provisioning_failures,EventsTopic
template_19229_cloudformation.json,cloudformation,cfn-lint,cascading_provisioning_failures,ApplicationLogGroup
template_19229_cloudformation.json,cloudformation,cfn-lint,cascading_provisioning_failures,ApplicationLogGroup
template_19229_cloudformation.json,cloudformation,cfn-lint,cascading_provisioning_failures,ApplicationLogGroup
template_19229_cloudformation.json,cloudformation,cfn-lint,cascading_provisioning_failures,PostgresLogGroup
template_19229_cloudformation.json,cloudformation,cfn-lint,cascading_provisioning_failures,DaemonLogGroup
template_19229_cloudformation.json,cloudformation,cfn-lint,cascading_provisioning_failures,DaemonLogGroup
template_19229_cloudformation.json,cloudformation,checkov,unrestricted_ip_addresses,InstanceSecurityGroup
template_19579_amplifyIdentityBrokerPostDeployment-cloudformation-template.json,cloudformation,cfn-lint,unused_parameters,CloudWatchRule
template_19579_amplifyIdentityBrokerPostDeployment-cloudformation-template.json,cloudformation,cfn-lint,unused_parameters,functionamplifyIdentityBrokerClientsName
template_21284_template.yml,cloudformation,cfn-lint,unused_parameters,RepositoryEnableIssues
template_21284_template.yml,cloudformation,cfn-lint,always_true_conditions,Cond.CreateCodeBuildResources
template_21284_template.yml,cloudformation,cfn-lint,always_false_conditions,Cond.CreateWebSiteS3Bucket
template_22695_negative1.yaml,cloudformation,cfn-lint,unused_parameters,OperatorEmail
template_23808_positive1.yaml,cloudformation,trivy,unrestricted_ip_addresses,InstanceSecurityGroup
template_25955_negative2.json,cloudformation,cfn-lint,hard_coded_secrets,RedshiftCluster2
