template_name,template_language,tool,smell_type,element_name
template_00376_test.json,cloudformation,cfn-lint,,
template_00376_test.json,cloudformation,cfn-lint,,
template_00376_test.json,cloudformation,trivy,,
template_00376_test.json,cloudformation,trivy,,
template_00376_test.json,cloudformation,trivy,,
template_00376_test.json,cloudformation,trivy,,
template_00376_test.json,cloudformation,trivy,,
template_00376_test.json,cloudformation,trivy,,
template_00376_test.json,cloudformation,checkov,,
template_00508_TheLambdalithStack.yml,cloudformation,cfn-lint,,
template_00508_TheLambdalithStack.yml,cloudformation,cfn-lint,,
template_00508_TheLambdalithStack.yml,cloudformation,cfn-lint,,
template_00508_TheLambdalithStack.yml,cloudformation,trivy,,
template_00508_TheLambdalithStack.yml,cloudformation,trivy,,
template_00508_TheLambdalithStack.yml,cloudformation,trivy,,
template_00508_TheLambdalithStack.yml,cloudformation,trivy,,
template_00508_TheLambdalithStack.yml,cloudformation,checkov,,
template_00558_organizationAccountAccessRole.yml,cloudformation,cfn-lint,,
template_00558_organizationAccountAccessRole.yml,cloudformation,trivy,,
template_00558_organizationAccountAccessRole.yml,cloudformation,checkov,,
template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,cloudformation,cfn-lint,,
template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,cloudformation,trivy,,
template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,cloudformation,checkov,,
template_00946_api_gateway_stage_does_have_access_logging.yaml,cloudformation,cfn-lint,,
template_00946_api_gateway_stage_does_have_access_logging.yaml,cloudformation,trivy,,
template_00946_api_gateway_stage_does_have_access_logging.yaml,cloudformation,checkov,,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,cfn-lint,,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,trivy,,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,trivy,,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,trivy,,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,trivy,,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,trivy,,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,trivy,,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,checkov,,
template_01388_test.template.yaml,cloudformation,cfn-lint,,
template_01388_test.template.yaml,cloudformation,trivy,,
template_01388_test.template.yaml,cloudformation,checkov,,
template_01425_database.yml,cloudformation,cfn-lint,,
template_01425_database.yml,cloudformation,cfn-lint,,
template_01425_database.yml,cloudformation,cfn-lint,,
template_01425_database.yml,cloudformation,cfn-lint,,
template_01425_database.yml,cloudformation,cfn-lint,,
template_01425_database.yml,cloudformation,cfn-lint,,
template_01425_database.yml,cloudformation,cfn-lint,,
template_01425_database.yml,cloudformation,trivy,,
template_01425_database.yml,cloudformation,trivy,,
template_01425_database.yml,cloudformation,trivy,,
template_01425_database.yml,cloudformation,trivy,,
template_01425_database.yml,cloudformation,trivy,,
template_01425_database.yml,cloudformation,trivy,,
template_01425_database.yml,cloudformation,trivy,,
template_01425_database.yml,cloudformation,trivy,,
template_01425_database.yml,cloudformation,trivy,,
template_01425_database.yml,cloudformation,trivy,,
template_01425_database.yml,cloudformation,trivy,,
template_01425_database.yml,cloudformation,trivy,,
template_01425_database.yml,cloudformation,checkov,,
template_01773_sc-portfolio-vpc.json,cloudformation,cfn-lint,,
template_01773_sc-portfolio-vpc.json,cloudformation,trivy,,
template_01773_sc-portfolio-vpc.json,cloudformation,checkov,,
template_01779_sc-workspaces-ra.json,cloudformation,cfn-lint,,
template_01779_sc-workspaces-ra.json,cloudformation,trivy,,
template_01779_sc-workspaces-ra.json,cloudformation,checkov,,
template_01859_iam_role_to_jump_to_another_account.yaml,cloudformation,cfn-lint,,
template_01859_iam_role_to_jump_to_another_account.yaml,cloudformation,trivy,,
template_01859_iam_role_to_jump_to_another_account.yaml,cloudformation,checkov,,
template_01991_macros.yaml,cloudformation,cfn-lint,,
template_01991_macros.yaml,cloudformation,trivy,,
template_01991_macros.yaml,cloudformation,checkov,,
template_02257_parameters_type_list_aws_ec2_volume_id.yaml,cloudformation,cfn-lint,,
template_02257_parameters_type_list_aws_ec2_volume_id.yaml,cloudformation,trivy,,
template_02257_parameters_type_list_aws_ec2_volume_id.yaml,cloudformation,trivy,,
template_02257_parameters_type_list_aws_ec2_volume_id.yaml,cloudformation,trivy,,
template_02257_parameters_type_list_aws_ec2_volume_id.yaml,cloudformation,trivy,,
template_02257_parameters_type_list_aws_ec2_volume_id.yaml,cloudformation,trivy,,
template_02257_parameters_type_list_aws_ec2_volume_id.yaml,cloudformation,trivy,,
template_02257_parameters_type_list_aws_ec2_volume_id.yaml,cloudformation,trivy,,
template_02257_parameters_type_list_aws_ec2_volume_id.yaml,cloudformation,trivy,,
template_02257_parameters_type_list_aws_ec2_volume_id.yaml,cloudformation,checkov,,
template_02273_valid_sub_operations.yaml,cloudformation,cfn-lint,,
template_02273_valid_sub_operations.yaml,cloudformation,trivy,,
template_02273_valid_sub_operations.yaml,cloudformation,checkov,,
template_02308_parity-deployment-remote-ethstats.json,cloudformation,cfn-lint,,
template_02308_parity-deployment-remote-ethstats.json,cloudformation,trivy,,
template_02308_parity-deployment-remote-ethstats.json,cloudformation,trivy,,
template_02308_parity-deployment-remote-ethstats.json,cloudformation,trivy,,
template_02308_parity-deployment-remote-ethstats.json,cloudformation,trivy,,
template_02308_parity-deployment-remote-ethstats.json,cloudformation,trivy,,
template_02308_parity-deployment-remote-ethstats.json,cloudformation,checkov,,
template_02670_resource-role.yaml,cloudformation,cfn-lint,,
template_02670_resource-role.yaml,cloudformation,trivy,,
template_02670_resource-role.yaml,cloudformation,checkov,,
template_02688_project-cluster.json,cloudformation,cfn-lint,,
