template_name,template_language,tool,smell_type,element_name
group_01730_modules_data_factory_data_factory_integration_runtime_azure_ssis,terraform,tflint,unused_parameters,data.administrator_password
group_01730_modules_data_factory_data_factory_integration_runtime_azure_ssis,terraform,tflint,unused_parameters,variable.base_tags
group_05247_deployment_azure_azure,terraform,checkov,unrestricted_ip_addresses,azurerm_network_security_rule.controller_ssh
group_05247_deployment_azure_azure,terraform,checkov,unrestricted_ip_addresses,azurerm_network_security_rule.controller_nic_ssh
group_05247_deployment_azure_azure,terraform,checkov,unrestricted_ip_addresses,azurerm_network_security_rule.worker_ssh
group_05247_deployment_azure_azure,terraform,checkov,unrestricted_ip_addresses,azurerm_network_security_rule.worker_nic_ssh
group_06514_terraform_aws_compute_utility,terraform,trivy,unrestricted_ip_addresses,aws_security_group.utility
group_06514_terraform_aws_compute_utility,terraform,checkov,unrestricted_ip_addresses,aws_security_group.utility
group_07103_alicloud_7.0_ha,terraform,tflint,unused_parameters,data.current_region_ds
group_07103_alicloud_7.0_ha,terraform,tflint,unused_parameters,data.current
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,checkov,urestricted_ip_address,aws_security_group.permissive_sg
group_09816_CHAP15_cycle,terraform,terraform-validate,circular_dependencies,azurerm_linux_virtual_machine.vm
group_11085_FortiGate_Playground_SD-WAN_terraform,terraform,tflint,unused_parameters,variable.FGT_LICENSE_LOCATION
group_11085_FortiGate_Playground_SD-WAN_terraform,terraform,tflint,unused_parameters,variable.FGT_LICENSE_FILE_C
group_11085_FortiGate_Playground_SD-WAN_terraform,terraform,tflint,unused_parameters,variable.FGT_LICENSE_FILE_D
group_11085_FortiGate_Playground_SD-WAN_terraform,terraform,tflint,unused_parameters,variable.gateway_ipaddress_branch1
group_11085_FortiGate_Playground_SD-WAN_terraform,terraform,tflint,unused_parameters,variable.gateway_ipaddress_branch2
group_11085_FortiGate_Playground_SD-WAN_terraform,terraform,tflint,unused_parameters,variable.fmg_ipaddress
group_11085_FortiGate_Playground_SD-WAN_terraform,terraform,tflint,unused_parameters,data.fgt_branch1_custom_data
group_11085_FortiGate_Playground_SD-WAN_terraform,terraform,checkov,unrestricted_ip_addresses,azurerm_network_security_rule.fgtnsgallowallin
group_11285_prod,terraform,checkov,unrestricted_ip_addresses,aws_security_group.bastion_host
group_11463_aws-firehose-s3-archiver,terraform,tflint,unused_parameters,data.current
group_11694_src_terraform_modules_dnsserver,terraform,tflint,unused_parameters,data.primary
group_20182_examples_datahub,terraform,tflint,unused_parameters,variable.region
group_22027_examples_trino_catalog,terraform,tflint,unused_parameters,data.trino_catalog_by_name
group_22027_examples_trino_catalog,terraform,tflint,unused_parameters,data.trino_catalog_by_id
group_27433_vendor_github.com_hashicorp_terraform_te,terraform,terraform-validate,circular_dependencies,aws_instance.foo
group_30570_terraform_aws_modules_networking,terraform,tflint,unused_parameters,local.rds_enhanced_monitoring_arn
group_30570_terraform_aws_modules_networking,terraform,tflint,unused_parameters,variable.region
group_31336_modules_databases_data_explorer_kusto_cl,terraform,tflint,unused_parameters,variable.client_config
group_35366_Chapter 10,terraform,checkov,unrestricted_ip_addresses,aws_network_acl.example_nacl
group_39272_ibmcloud_powervs_account_bootstrap_power,terraform,tflint,unused_parameters,variable.module_var_resource_group_id
group_39272_ibmcloud_powervs_account_bootstrap_power,terraform,tflint,unused_parameters,variable.module_var_ibmcloud_power_zone
group_39272_ibmcloud_powervs_account_bootstrap_power,terraform,tflint,unused_parameters,variable.module_var_ibmcloud_vpc_crn
