template_name,template_language,template_path,resolved_template_path,tool,iac_type,return_code,duration_s,issue_count,issue_index,issue_id,issue_message,issue_level,issue_location,issue_json,issue_status,error
template_00229_azuredeploy.json,arm,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,arm-ttk,arm,0,3.422,7,1,adminUsername Should Not Be A Literal,"AdminUsername ""notused"" is variable which is not an expression",error,,"{""id"": ""adminUsername Should Not Be A Literal"", ""message"": ""AdminUsername \""notused\"" is variable which is not an expression"", ""level"": ""error"", ""location"": """", ""file"": ""template_00229_azuredeploy.json""}",issue,
template_00229_azuredeploy.json,arm,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,arm-ttk,arm,0,3.422,7,2,apiVersions Should Be Recent,Api versions must be the latest or under 2 years old (730 days) - API version 2018-07-01 of Microsoft.Storage/storageAccounts is 2823 days old | Api versions must be a fixed date. Microsoft.Network/networkSecurityGroups is not. | Api versions must be a fixed date. Microsoft.Network/routeTables is not. | Api versions must be a fixed date. Microsoft.Compute/availabilitySets is not. | Api versions must be a fixed date. Microsoft.Network/publicIPAddresses is not. | Api versions must be a fixed date. Microsoft.Network/loadBalancers is not. | Api versions must be a fixed date. Microsoft.Network/loadBalancers is not. | Api versions must be a fixed date. Microsoft.Network/publicIPAddresses is not. | Api versions must be a fixed date. Microsoft.Network/publicIPAddresses is not. | Api versions must be a fixed date. Microsoft.Network/networkInterfaces is not. | Api versions must be a fixed date. Microsoft.Network/networkInterfaces is not. | Api versions must be a fixed date. Microsoft.Compute/virtualMachines is not. | Api versions must be a fixed date. Microsoft.Compute/virtualMachines is not.,error,,"{""id"": ""apiVersions Should Be Recent"", ""message"": ""Api versions must be the latest or under 2 years old (730 days) - API version 2018-07-01 of Microsoft.Storage/storageAccounts is 2823 days old | Api versions must be a fixed date. Microsoft.Network/networkSecurityGroups is not. | Api versions must be a fixed date. Microsoft.Network/routeTables is not. | Api versions must be a fixed date. Microsoft.Compute/availabilitySets is not. | Api versions must be a fixed date. Microsoft.Network/publicIPAddresses is not. | Api versions must be a fixed date. Microsoft.Network/loadBalancers is not. | Api versions must be a fixed date. Microsoft.Network/loadBalancers is not. | Api versions must be a fixed date. Microsoft.Network/publicIPAddresses is not. | Api versions must be a fixed date. Microsoft.Network/publicIPAddresses is not. | Api versions must be a fixed date. Microsoft.Network/networkInterfaces is not. | Api versions must be a fixed date. Microsoft.Network/networkInterfaces is not. | Api versions must be a fixed date. Microsoft.Compute/virtualMachines is not. | Api versions must be a fixed date. Microsoft.Compute/virtualMachines is not."", ""level"": ""error"", ""location"": """", ""file"": ""template_00229_azuredeploy.json""}",issue,
template_00229_azuredeploy.json,arm,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,arm-ttk,arm,0,3.422,7,3,DependsOn Best Practices,Depends On Must not start with [concat( | Depends On Must not start with [concat( | Depends On Must not start with [concat( | Depends On Must not start with [concat( | Depends On Must not start with [concat(,error,,"{""id"": ""DependsOn Best Practices"", ""message"": ""Depends On Must not start with [concat( | Depends On Must not start with [concat( | Depends On Must not start with [concat( | Depends On Must not start with [concat( | Depends On Must not start with [concat("", ""level"": ""error"", ""location"": """", ""file"": ""template_00229_azuredeploy.json""}",issue,
template_00229_azuredeploy.json,arm,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,arm-ttk,arm,0,3.422,7,4,DeploymentTemplate Must Not Contain Hardcoded Uri,Found hardcoded reference to core.windows.net | Found hardcoded reference to core.windows.net,error,,"{""id"": ""DeploymentTemplate Must Not Contain Hardcoded Uri"", ""message"": ""Found hardcoded reference to core.windows.net | Found hardcoded reference to core.windows.net"", ""level"": ""error"", ""location"": """", ""file"": ""template_00229_azuredeploy.json""}",issue,
template_00229_azuredeploy.json,arm,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,arm-ttk,arm,0,3.422,7,5,IDs Should Be Derived From ResourceIDs,"Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: ""id"" must use one of the following expressions for an resourceId property:
            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid",error,,"{""id"": ""IDs Should Be Derived From ResourceIDs"", ""message"": ""Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid | Property: \""id\"" must use one of the following expressions for an resourceId property:\n            extensionResourceId,resourceId,subscriptionResourceId,tenantResourceId,if,parameters,reference,variables,subscription,guid"", ""level"": ""error"", ""location"": """", ""file"": ""template_00229_azuredeploy.json""}",issue,
template_00229_azuredeploy.json,arm,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,arm-ttk,arm,0,3.422,7,6,Location Should Not Be Hardcoded,"template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template)",error,,"{""id"": ""Location Should Not Be Hardcoded"", ""message"": ""template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template) | template_00229_azuredeploy.json must use the location parameter, not resourceGroup().location or deployment().location (except when used as a default value in the main template)"", ""level"": ""error"", ""location"": """", ""file"": ""template_00229_azuredeploy.json""}",issue,
template_00229_azuredeploy.json,arm,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00229_azuredeploy.json,arm-ttk,arm,0,3.422,7,7,URIs Should Be Properly Constructed,Function 'concat' found within 'storageUri' | Function 'concat' found within 'storageUri',error,,"{""id"": ""URIs Should Be Properly Constructed"", ""message"": ""Function 'concat' found within 'storageUri' | Function 'concat' found within 'storageUri'"", ""level"": ""error"", ""location"": """", ""file"": ""template_00229_azuredeploy.json""}",issue,
template_00236_azuredeploy.json,arm,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00236_azuredeploy.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00236_azuredeploy.json,arm-ttk,arm,0,2.848,5,1,adminUsername Should Not Be A Literal,"AdminUsername ""notused"" is variable which is not an expression",error,,"{""id"": ""adminUsername Should Not Be A Literal"", ""message"": ""AdminUsername \""notused\"" is variable which is not an expression"", ""level"": ""error"", ""location"": """", ""file"": ""template_00236_azuredeploy.json""}",issue,
template_00236_azuredeploy.json,arm,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00236_azuredeploy.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00236_azuredeploy.json,arm-ttk,arm,0,2.848,5,2,apiVersions Should Be Recent,Api versions must be a fixed date. Microsoft.Network/networkSecurityGroups is not. | Api versions must be a fixed date. Microsoft.Network/routeTables is not. | Api versions must be a fixed date. Microsoft.Network/publicIPAddresses is not. | Api versions must be a fixed date. Microsoft.Network/networkInterfaces is not. | Api versions must be a fixed date. Microsoft.Compute/virtualMachines is not.,error,,"{""id"": ""apiVersions Should Be Recent"", ""message"": ""Api versions must be a fixed date. Microsoft.Network/networkSecurityGroups is not. | Api versions must be a fixed date. Microsoft.Network/routeTables is not. | Api versions must be a fixed date. Microsoft.Network/publicIPAddresses is not. | Api versions must be a fixed date. Microsoft.Network/networkInterfaces is not. | Api versions must be a fixed date. Microsoft.Compute/virtualMachines is not."", ""level"": ""error"", ""location"": """", ""file"": ""template_00236_azuredeploy.json""}",issue,
template_00236_azuredeploy.json,arm,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00236_azuredeploy.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\tools\arm-ttk\arm-ttk\templates\template_00236_azuredeploy.json,arm-ttk,arm,0,2.848,5,3,DependsOn Best Practices,Depends On Must not start with [concat(,error,,"{""id"": ""DependsOn Best Practices"", ""message"": ""Depends On Must not start with [concat("", ""level"": ""error"", ""location"": """", ""file"": ""template_00236_azuredeploy.json""}",issue,
