template_name,template_language,template_path,resolved_template_path,tool,iac_type,return_code,duration_s,issue_count,issue_index,issue_id,issue_message,issue_level,issue_location,issue_json,issue_status,error
template_00308_main.bicep,bicep,data/bicep_collected_templates_new\template_00308_main.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00308_main.bicep,bicep-linter,bicep,0,6.777,0,,,,,,,no_issue,
template_00308_main.bicep,bicep,data/bicep_collected_templates_new\template_00308_main.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00308_main.bicep,trivy,bicep,0,0.65,0,,,,,,,no_issue,
template_00308_main.bicep,bicep,data/bicep_collected_templates_new\template_00308_main.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00308_main.bicep,checkov,bicep,1,2.64,0,,,,,,,no_issue,
template_00457_containerregistry.bicep,bicep,data/bicep_collected_templates_new\template_00457_containerregistry.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00457_containerregistry.bicep,bicep-linter,bicep,0,3.115,2,1,use-parent-property,"Resource ""privateEndpointDns"" has its name formatted as a child of resource ""containerRegistryPrivateEndpoint"". The syntax can be simplified by using the parent property.",warning,L86:C9,"{""id"": ""use-parent-property"", ""message"": ""Resource \""privateEndpointDns\"" has its name formatted as a child of resource \""containerRegistryPrivateEndpoint\"". The syntax can be simplified by using the parent property."", ""level"": ""warning"", ""location"": ""L86:C9"", ""file"": ""WARNING: D:\\Personal Storage\\1 - PhD\\0_Projects\\1_IR\\code\\data\\bicep_collected_templates_new\\template_00457_containerregistry.bicep""}",issue,
template_00457_containerregistry.bicep,bicep,data/bicep_collected_templates_new\template_00457_containerregistry.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00457_containerregistry.bicep,bicep-linter,bicep,0,3.115,2,2,use-parent-property,"Resource ""acrPrivateDnsZoneVnetLink"" has its name formatted as a child of resource ""acrPrivateDnsZone"". The syntax can be simplified by using the parent property.",warning,L100:C9,"{""id"": ""use-parent-property"", ""message"": ""Resource \""acrPrivateDnsZoneVnetLink\"" has its name formatted as a child of resource \""acrPrivateDnsZone\"". The syntax can be simplified by using the parent property."", ""level"": ""warning"", ""location"": ""L100:C9"", ""file"": ""D:\\Personal Storage\\1 - PhD\\0_Projects\\1_IR\\code\\data\\bicep_collected_templates_new\\template_00457_containerregistry.bicep""}",issue,
template_00457_containerregistry.bicep,bicep,data/bicep_collected_templates_new\template_00457_containerregistry.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00457_containerregistry.bicep,trivy,bicep,0,0.659,0,,,,,,,no_issue,
template_00457_containerregistry.bicep,bicep,data/bicep_collected_templates_new\template_00457_containerregistry.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00457_containerregistry.bicep,checkov,bicep,1,2.692,0,,,,,,,no_issue,
template_00683_Template,bicep,data/bicep_collected_templates_new\template_00683_Template.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00683_Template.bicep,bicep-linter,bicep,0,2.916,1,1,no-unused-params,"Parameter ""p1"" is declared but never used.",warning,L2:C7,"{""id"": ""no-unused-params"", ""message"": ""Parameter \""p1\"" is declared but never used."", ""level"": ""warning"", ""location"": ""L2:C7"", ""file"": ""WARNING: D:\\Personal Storage\\1 - PhD\\0_Projects\\1_IR\\code\\data\\bicep_collected_templates_new\\template_00683_Template.bicep""}",issue,
template_00683_Template,bicep,data/bicep_collected_templates_new\template_00683_Template.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00683_Template.bicep,trivy,bicep,0,0.634,0,,,,,,,no_issue,
template_00683_Template,bicep,data/bicep_collected_templates_new\template_00683_Template.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00683_Template.bicep,checkov,bicep,1,2.593,0,,,,,,,no_issue,
template_00915_main.bicep,bicep,data/bicep_collected_templates_new\template_00915_main.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00915_main.bicep,bicep-linter,bicep,0,3.251,0,,,,,,,no_issue,
template_00915_main.bicep,bicep,data/bicep_collected_templates_new\template_00915_main.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00915_main.bicep,trivy,bicep,0,0.634,0,,,,,,,no_issue,
template_00915_main.bicep,bicep,data/bicep_collected_templates_new\template_00915_main.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00915_main.bicep,checkov,bicep,1,2.571,0,,,,,,,no_issue,
template_01213_res-data-lake.bicep,bicep,data/bicep_collected_templates_new\template_01213_res-data-lake.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_01213_res-data-lake.bicep,bicep-linter,bicep,0,2.852,0,,,,,,,no_issue,
template_01213_res-data-lake.bicep,bicep,data/bicep_collected_templates_new\template_01213_res-data-lake.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_01213_res-data-lake.bicep,trivy,bicep,0,0.64,0,,,,,,,no_issue,
template_01213_res-data-lake.bicep,bicep,data/bicep_collected_templates_new\template_01213_res-data-lake.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_01213_res-data-lake.bicep,checkov,bicep,1,2.488,0,,,,,,,no_issue,
template_01220_res-expressroute-gateway.bicep,bicep,data/bicep_collected_templates_new\template_01220_res-expressroute-gateway.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_01220_res-expressroute-gateway.bicep,bicep-linter,bicep,0,2.874,0,,,,,,,no_issue,
template_01220_res-expressroute-gateway.bicep,bicep,data/bicep_collected_templates_new\template_01220_res-expressroute-gateway.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_01220_res-expressroute-gateway.bicep,trivy,bicep,0,0.638,0,,,,,,,no_issue,
template_01220_res-expressroute-gateway.bicep,bicep,data/bicep_collected_templates_new\template_01220_res-expressroute-gateway.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_01220_res-expressroute-gateway.bicep,checkov,bicep,1,2.582,0,,,,,,,no_issue,
template_01423_managementGroupSubscription.bicep,bicep,data/bicep_collected_templates_new\template_01423_managementGroupSubscription.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_01423_managementGroupSubscription.bicep,bicep-linter,bicep,0,2.873,0,,,,,,,no_issue,
template_01423_managementGroupSubscription.bicep,bicep,data/bicep_collected_templates_new\template_01423_managementGroupSubscription.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_01423_managementGroupSubscription.bicep,trivy,bicep,0,0.641,0,,,,,,,no_issue,
