template_name,template_language,template_path,resolved_template_path,tool,iac_type,return_code,duration_s,issue_count,issue_index,issue_id,issue_message,issue_level,issue_location,issue_json,issue_status,error
template_00308_main.bicep,bicep,data/bicep_collected_templates_new\template_00308_main.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00308_main.bicep,checkov,bicep,1,21.415,3,1,CKV_AZURE_96,Ensure that MySQL server enables infrastructure encryption,,L38-L65,"{""id"": ""CKV_AZURE_96"", ""message"": ""Ensure that MySQL server enables infrastructure encryption"", ""level"": null, ""location"": ""L38-L65""}",issue,
template_00308_main.bicep,bicep,data/bicep_collected_templates_new\template_00308_main.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00308_main.bicep,checkov,bicep,1,21.415,3,2,CKV_AZURE_94,Ensure that My SQL server enables geo-redundant backups,,L38-L65,"{""id"": ""CKV_AZURE_94"", ""message"": ""Ensure that My SQL server enables geo-redundant backups"", ""level"": null, ""location"": ""L38-L65""}",issue,
template_00308_main.bicep,bicep,data/bicep_collected_templates_new\template_00308_main.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00308_main.bicep,checkov,bicep,1,21.415,3,3,CKV_AZURE_53,Ensure 'public network access enabled' is set to 'False' for mySQL servers,,L38-L65,"{""id"": ""CKV_AZURE_53"", ""message"": ""Ensure 'public network access enabled' is set to 'False' for mySQL servers"", ""level"": null, ""location"": ""L38-L65""}",issue,
template_00457_containerregistry.bicep,bicep,data/bicep_collected_templates_new\template_00457_containerregistry.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00457_containerregistry.bicep,checkov,bicep,1,5.819,3,1,CKV_AZURE_137,Ensure ACR admin account is disabled,,L26-L56,"{""id"": ""CKV_AZURE_137"", ""message"": ""Ensure ACR admin account is disabled"", ""level"": null, ""location"": ""L26-L56""}",issue,
template_00457_containerregistry.bicep,bicep,data/bicep_collected_templates_new\template_00457_containerregistry.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00457_containerregistry.bicep,checkov,bicep,1,5.819,3,2,CKV_AZURE_166,"Ensure container image quarantine, scan, and mark images verified",,L26-L56,"{""id"": ""CKV_AZURE_166"", ""message"": ""Ensure container image quarantine, scan, and mark images verified"", ""level"": null, ""location"": ""L26-L56""}",issue,
template_00457_containerregistry.bicep,bicep,data/bicep_collected_templates_new\template_00457_containerregistry.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00457_containerregistry.bicep,checkov,bicep,1,5.819,3,3,CKV_AZURE_233,Ensure Azure Container Registry (ACR) is zone redundant,,L26-L56,"{""id"": ""CKV_AZURE_233"", ""message"": ""Ensure Azure Container Registry (ACR) is zone redundant"", ""level"": null, ""location"": ""L26-L56""}",issue,
template_00683_Template,bicep,data/bicep_collected_templates_new\template_00683_Template.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00683_Template.bicep,checkov,bicep,1,5.055,3,1,CKV_AZURE_35,Ensure default network access rule for Storage Accounts is set to deny,,L4-L14,"{""id"": ""CKV_AZURE_35"", ""message"": ""Ensure default network access rule for Storage Accounts is set to deny"", ""level"": null, ""location"": ""L4-L14""}",issue,
template_00683_Template,bicep,data/bicep_collected_templates_new\template_00683_Template.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00683_Template.bicep,checkov,bicep,1,5.055,3,2,CKV_AZURE_44,Ensure Storage Account is using the latest version of TLS encryption,,L4-L14,"{""id"": ""CKV_AZURE_44"", ""message"": ""Ensure Storage Account is using the latest version of TLS encryption"", ""level"": null, ""location"": ""L4-L14""}",issue,
template_00683_Template,bicep,data/bicep_collected_templates_new\template_00683_Template.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00683_Template.bicep,checkov,bicep,1,5.055,3,3,CKV_AZURE_206,Ensure that Storage Accounts use replication,,L4-L14,"{""id"": ""CKV_AZURE_206"", ""message"": ""Ensure that Storage Accounts use replication"", ""level"": null, ""location"": ""L4-L14""}",issue,
template_00915_main.bicep,bicep,data/bicep_collected_templates_new\template_00915_main.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00915_main.bicep,checkov,bicep,1,5.615,9,1,CKV_AZURE_35,Ensure default network access rule for Storage Accounts is set to deny,,L59-L66,"{""id"": ""CKV_AZURE_35"", ""message"": ""Ensure default network access rule for Storage Accounts is set to deny"", ""level"": null, ""location"": ""L59-L66""}",issue,
template_00915_main.bicep,bicep,data/bicep_collected_templates_new\template_00915_main.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00915_main.bicep,checkov,bicep,1,5.615,9,2,CKV_AZURE_44,Ensure Storage Account is using the latest version of TLS encryption,,L59-L66,"{""id"": ""CKV_AZURE_44"", ""message"": ""Ensure Storage Account is using the latest version of TLS encryption"", ""level"": null, ""location"": ""L59-L66""}",issue,
template_00915_main.bicep,bicep,data/bicep_collected_templates_new\template_00915_main.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_00915_main.bicep,checkov,bicep,1,5.615,9,3,CKV_AZURE_43,Ensure Storage Accounts adhere to the naming rules,,L59-L66,"{""id"": ""CKV_AZURE_43"", ""message"": ""Ensure Storage Accounts adhere to the naming rules"", ""level"": null, ""location"": ""L59-L66""}",issue,
