template_name,template_language,template_path,resolved_template_path,tool,iac_type,return_code,duration_s,issue_count,issue_index,issue_id,issue_message,issue_level,issue_location,issue_json,issue_status,error
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,checkov,cloudformation,1,11.636,4,1,CKV_AWS_16,Ensure all data stored in the RDS is securely encrypted at rest,,L23-L32,"{""id"": ""CKV_AWS_16"", ""message"": ""Ensure all data stored in the RDS is securely encrypted at rest"", ""level"": null, ""location"": ""L23-L32""}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,checkov,cloudformation,1,11.636,4,2,CKV_AWS_118,Ensure that enhanced monitoring is enabled for Amazon RDS instances,,L23-L32,"{""id"": ""CKV_AWS_118"", ""message"": ""Ensure that enhanced monitoring is enabled for Amazon RDS instances"", ""level"": null, ""location"": ""L23-L32""}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,checkov,cloudformation,1,11.636,4,3,CKV_AWS_161,Ensure RDS database has IAM authentication enabled,,L23-L32,"{""id"": ""CKV_AWS_161"", ""message"": ""Ensure RDS database has IAM authentication enabled"", ""level"": null, ""location"": ""L23-L32""}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,checkov,cloudformation,1,11.636,4,4,CKV_AWS_157,Ensure that RDS instances have Multi-AZ enabled,,L23-L32,"{""id"": ""CKV_AWS_157"", ""message"": ""Ensure that RDS instances have Multi-AZ enabled"", ""level"": null, ""location"": ""L23-L32""}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,checkov,cloudformation,1,5.202,8,1,CKV_AWS_116,Ensure that AWS Lambda function is configured for a Dead Letter Queue(DLQ),,L20-L50,"{""id"": ""CKV_AWS_116"", ""message"": ""Ensure that AWS Lambda function is configured for a Dead Letter Queue(DLQ)"", ""level"": null, ""location"": ""L20-L50""}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,checkov,cloudformation,1,5.202,8,2,CKV_AWS_115,Ensure that AWS Lambda function is configured for function-level concurrent execution limit,,L20-L50,"{""id"": ""CKV_AWS_115"", ""message"": ""Ensure that AWS Lambda function is configured for function-level concurrent execution limit"", ""level"": null, ""location"": ""L20-L50""}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,checkov,cloudformation,1,5.202,8,3,CKV_AWS_117,Ensure that AWS Lambda function is configured inside a VPC,,L20-L50,"{""id"": ""CKV_AWS_117"", ""message"": ""Ensure that AWS Lambda function is configured inside a VPC"", ""level"": null, ""location"": ""L20-L50""}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,checkov,cloudformation,1,5.202,8,4,CKV_AWS_76,Ensure API Gateway has Access Logging enabled,,L69-L78,"{""id"": ""CKV_AWS_76"", ""message"": ""Ensure API Gateway has Access Logging enabled"", ""level"": null, ""location"": ""L69-L78""}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,checkov,cloudformation,1,5.202,8,5,CKV_AWS_120,Ensure API Gateway caching is enabled,,L69-L78,"{""id"": ""CKV_AWS_120"", ""message"": ""Ensure API Gateway caching is enabled"", ""level"": null, ""location"": ""L69-L78""}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,checkov,cloudformation,1,5.202,8,6,CKV_AWS_73,Ensure API Gateway has X-Ray Tracing enabled,,L69-L78,"{""id"": ""CKV_AWS_73"", ""message"": ""Ensure API Gateway has X-Ray Tracing enabled"", ""level"": null, ""location"": ""L69-L78""}",issue,
