template_name,template_language,template_path,resolved_template_path,tool,iac_type,return_code,duration_s,issue_count,issue_index,issue_id,issue_message,issue_level,issue_location,issue_json,issue_status,error
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,tflint,terraform,0,0.222,4,1,terraform_required_version,"terraform ""required_version"" attribute is required",warning,L1,"{""id"": ""terraform_required_version"", ""message"": ""terraform \""required_version\"" attribute is required"", ""level"": ""warning"", ""location"": ""L1""}",issue,
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,tflint,terraform,0,0.222,4,2,terraform_required_providers,"Missing version constraint for provider ""null"" in `required_providers`",warning,L5,"{""id"": ""terraform_required_providers"", ""message"": ""Missing version constraint for provider \""null\"" in `required_providers`"", ""level"": ""warning"", ""location"": ""L5""}",issue,
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,tflint,terraform,0,0.222,4,3,terraform_unused_declarations,local.user_data_type_to_rendered is declared but not used,warning,L73,"{""id"": ""terraform_unused_declarations"", ""message"": ""local.user_data_type_to_rendered is declared but not used"", ""level"": ""warning"", ""location"": ""L73""}",issue,
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,tflint,terraform,0,0.222,4,4,terraform_required_providers,"Missing version constraint for provider ""cloudinit"" in `required_providers`",warning,L118,"{""id"": ""terraform_required_providers"", ""message"": ""Missing version constraint for provider \""cloudinit\"" in `required_providers`"", ""level"": ""warning"", ""location"": ""L118""}",issue,
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,trivy,terraform,0,2.039,0,,,,,,,no_issue,
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,checkov,terraform,0,5.342,0,,,,,,,no_issue,
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,terraform-validate,terraform,1,3.496,7,1,Reference to undeclared input variable,"An input variable with the name ""ami_type"" has not been declared. This variable can be declared with a variable ""ami_type"" {} block.",error,L18,"{""id"": ""Reference to undeclared input variable"", ""message"": ""An input variable with the name \""ami_type\"" has not been declared. This variable can be declared with a variable \""ami_type\"" {} block."", ""level"": ""error"", ""location"": ""L18""}",issue,
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,terraform-validate,terraform,1,3.496,7,2,Reference to undeclared input variable,"An input variable with the name ""user_data_template_path"" has not been declared. This variable can be declared with a variable ""user_data_template_path"" {} block.",error,L44,"{""id"": ""Reference to undeclared input variable"", ""message"": ""An input variable with the name \""user_data_template_path\"" has not been declared. This variable can be declared with a variable \""user_data_template_path\"" {} block."", ""level"": ""error"", ""location"": ""L44""}",issue,
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,terraform-validate,terraform,1,3.496,7,3,Reference to undeclared input variable,"An input variable with the name ""create"" has not been declared. This variable can be declared with a variable ""create"" {} block.",error,L10,"{""id"": ""Reference to undeclared input variable"", ""message"": ""An input variable with the name \""create\"" has not been declared. This variable can be declared with a variable \""create\"" {} block."", ""level"": ""error"", ""location"": ""L10""}",issue,
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,terraform-validate,terraform,1,3.496,7,4,Reference to undeclared input variable,"An input variable with the name ""cluster_service_cidr"" has not been declared. This variable can be declared with a variable ""cluster_service_cidr"" {} block.",error,L10,"{""id"": ""Reference to undeclared input variable"", ""message"": ""An input variable with the name \""cluster_service_cidr\"" has not been declared. This variable can be declared with a variable \""cluster_service_cidr\"" {} block."", ""level"": ""error"", ""location"": ""L10""}",issue,
