template_name,template_language,template_path,resolved_template_path,tool,iac_type,return_code,duration_s,issue_count,issue_index,issue_id,issue_message,issue_level,issue_location,issue_json,issue_status,error
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,tflint,terraform,0,0.191,0,,,,,,,no_issue,
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,trivy,terraform,0,0.76,0,,,,,,,no_issue,
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,checkov,terraform,0,20.049,0,,,,,,,no_issue,
group_00006_modules__user_data,terraform,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00006_modules__user_data\main.tf,terraform-validate,terraform,0,2.495,0,,,,,,,no_issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,tflint,terraform,0,0.151,1,1,terraform_required_version,"terraform ""required_version"" attribute is required",warning,L5,"{""id"": ""terraform_required_version"", ""message"": ""terraform \""required_version\"" attribute is required"", ""level"": ""warning"", ""location"": ""L5""}",issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,trivy,terraform,0,0.87,0,,,,,,,no_issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,checkov,terraform,1,17.83,12,1,CKV_TF_1,Ensure Terraform module sources use a commit hash,,L1-L18,"{""id"": ""CKV_TF_1"", ""message"": ""Ensure Terraform module sources use a commit hash"", ""level"": null, ""location"": ""L1-L18""}",issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,checkov,terraform,1,17.83,12,2,CKV_AWS_129,Ensure that respective logs of Amazon Relational Database Service (Amazon RDS) are enabled,,L1-L14,"{""id"": ""CKV_AWS_129"", ""message"": ""Ensure that respective logs of Amazon Relational Database Service (Amazon RDS) are enabled"", ""level"": null, ""location"": ""L1-L14""}",issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,checkov,terraform,1,17.83,12,3,CKV_AWS_226,Ensure DB instance gets all minor upgrades automatically,,L1-L14,"{""id"": ""CKV_AWS_226"", ""message"": ""Ensure DB instance gets all minor upgrades automatically"", ""level"": null, ""location"": ""L1-L14""}",issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,checkov,terraform,1,17.83,12,4,CKV_AWS_16,Ensure all data stored in the RDS is securely encrypted at rest,,L1-L14,"{""id"": ""CKV_AWS_16"", ""message"": ""Ensure all data stored in the RDS is securely encrypted at rest"", ""level"": null, ""location"": ""L1-L14""}",issue,
