template_name,template_language,smell_type,element_name,element_type,property_path,secondary_element,notes
template_00229_azuredeploy.json,arm,always_false_conditions,condition_2,condition,,,
template_00229_azuredeploy.json,arm,always_false_conditions,condition_3,condition,,,
template_00229_azuredeploy.json,arm,no_sourced_conditions,condition_1,condition,,,
template_00229_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_nsgName,resource,securityRules[1].properties.sourceAddressPrefix,,
template_00236_azuredeploy.json,arm,always_false_conditions,condition_1,condition,,,
template_00236_azuredeploy.json,arm,no_sourced_conditions,condition_1,condition,,,
template_00236_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_nsgName,resource,securityRules[0].properties.sourceAddressPrefix,,
template_04068_infrastructure.json,arm,unused_parameters,templateLinkBase,parameter,,,
template_04068_infrastructure.json,arm,unused_parameters,templateLinkAccessToken,parameter,,,
template_04068_infrastructure.json,arm,unused_parameters,variables.subscription,parameter,,,
template_04068_infrastructure.json,arm,unused_parameters,variables.sitecoreResourceGroup,parameter,,,
template_04068_infrastructure.json,arm,unused_parameters,variables.resourcesApiVersion,parameter,,,
template_07140_azuredeploy.json,arm,always_true_conditions,condition_5,condition,,,
template_07238_azuredeploy.json,arm,unused_parameters,AllowFrontendConnectionFromIPOrCIDRBlock,parameter,,,
template_07238_azuredeploy.json,arm,cascading_provisioning_failures,ParameterizedAppGateway,resource,,ParameterizedBackendVM-Loop,
template_07599_azuredeploy.json,arm,unused_parameters,variables.masterHAproxyInstanceIndex,parameter,,,
template_07789_azuredeploy.json,arm,unused_parameters,currency,parameter,,,
template_07789_azuredeploy.json,arm,unused_parameters,regionInfo,parameter,,,
template_07789_azuredeploy.json,arm,unused_parameters,locale,parameter,,,
template_07789_azuredeploy.json,arm,unused_parameters,offerDurableId,parameter,,,
template_07789_azuredeploy.json,arm,unused_parameters,variables.ingestScheduleName,parameter,,,
template_07796_deployToWorkspaceWithAuditLogs.json,arm,unused_parameters,deploymentNameSuffix,parameter,,,
template_07796_deployToWorkspaceWithAuditLogs.json,arm,unused_parameters,linkedWorkspaceSKU,parameter,,,
template_07796_deployToWorkspaceWithAuditLogs.json,arm,unused_parameters,variables.ingestScheduleGuid,parameter,,,
template_07796_deployToWorkspaceWithAuditLogs.json,arm,unused_parameters,variables.SchedulerFrequency,parameter,,,
template_07796_deployToWorkspaceWithAuditLogs.json,arm,unused_parameters,variables.ingestScheduleName,parameter,,,
template_08178_cluster.json,arm,unused_parameters,variables.cltemplate,parameter,,,
template_08178_cluster.json,arm,unused_parameters,variables.WindowsStorageProfile,parameter,,,
template_08178_cluster.json,arm,no_sourced_outputs,Out.adminUser,output,,,
template_08178_cluster.json,arm,no_sourced_outputs,Out.Credentials Url Login,output,,,
template_08178_cluster.json,arm,no_sourced_conditions,condition_3,condition,,,
template_08178_cluster.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_NSGName,resource,securityRules[0].properties.sourceAddressPrefix,,
template_09692_GetD4IoTDeviceCVEs.json,arm,hard_coded_secrets,APIKey,parameter,,,
template_09692_GetD4IoTDeviceCVEs.json,arm,unprotected_secrets,APIKey,parameter,,,
template_09935_azuredeploy.json,arm,cascading_provisioning_failures,enableAlerts,resource,,enableScheduledAlerts#2,
template_16184_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_networkSecurityGroupName,resource,securityRules[0].properties.sourceAddressPrefix,,
template_16184_azuredeploy.json,arm,unprotected_secrets,sqlAkvCredentialName,parameter,,,
template_16528_azuredeploy.json,arm,unused_parameters,variables.publicIPAddressType,parameter,,,
template_16528_azuredeploy.json,arm,unused_parameters,variables.lbAPIRuleID,parameter,,,
template_16528_azuredeploy.json,arm,unused_parameters,variables.apiProbeID,parameter,,,
template_16528_azuredeploy.json,arm,unused_parameters,variables.builderProbeID,parameter,,,
template_16599_azuredeploy.json,arm,circular_dependencies,AzfwTest,resource,,"AzfwTest,Hub-01",
template_16599_azuredeploy.json,arm,unrestricted_ip_addresses,nsg-jump-srv,resource,securityRules[0].properties.sourceAddressPrefix,,
template_18622_azuredeploy.json,arm,unused_parameters,variables.LogAnalyticsApiVersion,parameter,,,
template_19545_azuredeployv2.json,arm,unused_parameters,ExpressRouteEnvironmentName,parameter,,,
template_19545_azuredeployv2.json,arm,cascading_provisioning_failures,vpnconnections,resource,,routeServer,
template_19545_azuredeployv2.json,arm,hard_coded_secrets,sharedKey,parameter,,,
template_21468_azuredeploy.json,arm,unprotected_secrets,SecretName Jira,parameter,,,
template_26327_azuredeploy.json,arm,no_sourced_outputs,Out.cloudFoundryIP,output,,,
template_26327_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_boshNetworkSecurityGroup,resource,securityRules[0].properties.sourceAddressPrefix,,
template_26327_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_devboxNetworkSecurityGroup,resource,securityRules[0].properties.sourceAddressPrefix,,
template_26327_azuredeploy.json,arm,unprotected_secrets,credentialsByType,parameter,,,
template_26327_azuredeploy.json,arm,unprotected_secrets,credentials,parameter,,,
template_26998_azuredeploy.json,arm,unused_parameters,variables.vmarray,parameter,,,
template_26998_azuredeploy.json,arm,no_sourced_conditions,condition_2,condition,,,
template_26998_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_nvaArray,resource,securityRules[0].properties.sourceAddressPrefix,,
template_26998_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_vmArray,resource,securityRules[0].properties.sourceAddressPrefix,,
template_26998_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_vmArray,resource,securityRules[1].properties.sourceAddressPrefix,,
template_26998_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_vmArray,resource,securityRules[2].properties.sourceAddressPrefix,,
template_26998_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_vmArray,resource,securityRules[3].properties.sourceAddressPrefix,,
template_26998_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_vmArray,resource,securityRules[4].properties.sourceAddressPrefix,,
template_26998_azuredeploy.json,arm,unprotected_secrets,adminPassword,parameter,,,
template_27371_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_networkSecurityGroupName,resource,securityRules[0].properties.sourceAddressPrefix,,
template_28044_azuredeploy.json,arm,always_true_conditions,condition_5,condition,,,
template_36905_azuredeploy.json,arm,unused_parameters,username,parameter,,,
template_37115_azuredeploy.json,arm,circular_dependencies,AzfwTest,resource,,"AzfwTest,Hub-01",
template_37115_azuredeploy.json,arm,unrestricted_ip_addresses,nsg-jump-srv,resource,securityRules[0].properties.sourceAddressPrefix,,
template_37148_virtual-machine-with-plan.json,arm,unused_parameters,computeApiVersion,parameter,,,
template_37148_virtual-machine-with-plan.json,arm,unused_parameters,storageAccountName,parameter,,,
template_37148_virtual-machine-with-plan.json,arm,unused_parameters,vmStorageAccountContainerName,parameter,,,
template_37148_virtual-machine-with-plan.json,arm,hard_coded_secrets,adminPassword,parameter,,,
template_37606_jumpbox-resources.json,arm,unused_parameters,variables.storageAccountName,parameter,,,
template_37715_azuredeploy.json,arm,unused_parameters,variables.vmStorageAccountContainerName,parameter,,,
template_37715_azuredeploy.json,arm,unused_parameters,variables.storageAccountName,parameter,,,
template_37715_azuredeploy.json,arm,unrestricted_ip_addresses,Microsoft.Network/networkSecurityGroups_frontEndNSGName,resource,securityRules[0].properties.sourceAddressPrefix,,
template_37715_azuredeploy.json,arm,unprotected_secrets,tomcatPassword,parameter,,,
template_39564_dataController.json,arm,unprotected_secrets,dockerRegistryCredential,parameter,,,
template_39751_azuredeploy.json,arm,unused_parameters,tenantID,parameter,,,
template_39751_azuredeploy.json,arm,no_sourced_outputs,Out.hostname,output,,,
template_40821_azuredeploy.json,arm,unused_parameters,_artifactsLocation,parameter,,,
