template_name,template_language,smell_type,element_name,element_type,property_path,secondary_element,notes
template_00376_test.json,cloudformation,hard_coded_secrets,MyDB,resource,MasterUserPassword,,
template_00508_TheLambdalithStack.yml,cloudformation,unused_parameters,AssetParameters942dc8810017b8ceebf761d04a03cd725053f34f261656610cacf5346246bcd9ArtifactHashE439B6C2,parameter,,,
template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,cloudformation,hard_coded_secrets,AmplifyAppBasicAuthConfigPassword,parameter,,,
template_01425_database.yml,cloudformation,unused_parameters,Namespace,parameter,,,
template_01425_database.yml,cloudformation,unused_parameters,EnvironmentName,parameter,,,
template_01425_database.yml,cloudformation,cascading_provisioning_failures,DBCluster,resource,,DBInstanceClustered,
template_01779_sc-workspaces-ra.json,cloudformation,no_sourced_outputs,Out.LogonURL,output,,,
template_02308_parity-deployment-remote-ethstats.json,cloudformation,unprotected_secrets,ETHStatsPassword,parameter,,,
template_03836_functions_ref.yaml,cloudformation,circular_dependencies,mySecurityGroupVpc1,resource,,"mySecurityGroupVpc1,mySecurityGroupVpc2",
template_04839_v5_SparkUI.cf.yml,cloudformation,unused_parameters,AutoTerminateCluster,parameter,,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,unrestricted_ip_addresses,VMSecurityGroup,resource,SecurityGroupIngress[0].CidrIp,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,unrestricted_ip_addresses,VMSecurityGroup,resource,SecurityGroupIngress[1].CidrIp,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,unrestricted_ip_addresses,VpnSecurityGroup,resource,SecurityGroupIngress[0].CidrIp,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,unrestricted_ip_addresses,VpnSecurityGroup,resource,SecurityGroupIngress[1].CidrIp,,
template_05140_EC2-SecurityGroup-App-App1-php.yaml,cloudformation,unused_parameters,Department,parameter,,,
template_05354_cognito.yaml,cloudformation,hard_coded_secrets,AccessTokenValidity,parameter,,,
template_05354_cognito.yaml,cloudformation,hard_coded_secrets,IdTokenValidity,parameter,,,
template_05354_cognito.yaml,cloudformation,hard_coded_secrets,RefreshTokenValidity,parameter,,,
template_05354_cognito.yaml,cloudformation,unprotected_secrets,AccessTokenValidity,parameter,,,
template_05354_cognito.yaml,cloudformation,unprotected_secrets,IdTokenValidity,parameter,,,
template_05354_cognito.yaml,cloudformation,unprotected_secrets,RefreshTokenValidity,parameter,,,
template_06358_api_custom_domain_private_endpoint_route53_hostedzonename.json,cloudformation,unused_parameters,CertificateArn,parameter,,,
template_06358_api_custom_domain_private_endpoint_route53_hostedzonename.json,cloudformation,unused_parameters,DomainName,parameter,,,
template_06358_api_custom_domain_private_endpoint_route53_hostedzonename.json,cloudformation,unused_parameters,HostedZoneId,parameter,,,
template_07793_bucket-module.yaml,cloudformation,cascading_provisioning_failures,LogBucket,resource,,Bucket,
template_08253_deploy-in-management-account.yaml,cloudformation,unused_parameters,IncludeMarketplaceModule,parameter,,,
template_08937_vpc-template.json,cloudformation,unrestricted_ip_addresses,BastionSG,resource,SecurityGroupIngress[0].CidrIp,,
template_09578_340804757.yaml,cloudformation,unused_parameters,AssetParameters240c16cdf5d2cff87e7d678a663f0b8495f576a5ae13a28cdc8d4125b0046512ArtifactHash6E7106E0,parameter,,,
template_11072_h2-service.yaml,cloudformation,unused_parameters,VPC,parameter,,,
template_11072_h2-service.yaml,cloudformation,unused_parameters,Listener,parameter,,,
template_11072_h2-service.yaml,cloudformation,unused_parameters,Path,parameter,,,
template_11599_template.yml,cloudformation,always_true_conditions,Cond.CreateCodeBuildResources,condition,,,
template_11599_template.yml,cloudformation,always_false_conditions,Cond.CreateWebSiteS3Bucket,condition,,,
template_11599_template.yml,cloudformation,dead_resources,WebsiteS3Bucket,resource,,,
template_11599_template.yml,cloudformation,unused_parameters,RepositoryEnableIssues,parameter,,,
template_11599_template.yml,cloudformation,no_sourced_conditions,Cond.CreateCodeBuildResources,condition,,,
template_11599_template.yml,cloudformation,no_sourced_conditions,Cond.CreateWebSiteS3Bucket,condition,,,
template_11599_template.yml,cloudformation,hard_coded_secrets,RepositoryToken,parameter,,,
template_11861_Operational-Best-Practices-for-CJIS.yaml,cloudformation,hard_coded_secrets,IamPasswordPolicyParamRequireLowercaseCharacters,parameter,,,
template_11861_Operational-Best-Practices-for-CJIS.yaml,cloudformation,hard_coded_secrets,IamPasswordPolicyParamRequireNumbers,parameter,,,
template_11861_Operational-Best-Practices-for-CJIS.yaml,cloudformation,hard_coded_secrets,IamPasswordPolicyParamRequireSymbols,parameter,,,
template_11861_Operational-Best-Practices-for-CJIS.yaml,cloudformation,hard_coded_secrets,IamPasswordPolicyParamRequireUppercaseCharacters,parameter,,,
template_11861_Operational-Best-Practices-for-CJIS.yaml,cloudformation,unprotected_secrets,IamPasswordPolicyParamRequireLowercaseCharacters,parameter,,,
template_11861_Operational-Best-Practices-for-CJIS.yaml,cloudformation,unprotected_secrets,IamPasswordPolicyParamRequireNumbers,parameter,,,
template_11861_Operational-Best-Practices-for-CJIS.yaml,cloudformation,unprotected_secrets,IamPasswordPolicyParamRequireSymbols,parameter,,,
template_11861_Operational-Best-Practices-for-CJIS.yaml,cloudformation,unprotected_secrets,IamPasswordPolicyParamRequireUppercaseCharacters,parameter,,,
template_12659_qs-gwlb.yaml,cloudformation,always_true_conditions,Cond.2AZs,condition,,,
template_12659_qs-gwlb.yaml,cloudformation,always_false_conditions,Cond.EncryptedProtocol,condition,,,
template_12659_qs-gwlb.yaml,cloudformation,unused_conditions,Cond.2AZs,condition,,,
template_12659_qs-gwlb.yaml,cloudformation,unused_conditions,Cond.ProvidedResourcesTag,condition,,,
template_12659_qs-gwlb.yaml,cloudformation,no_sourced_outputs,Out.ControllerName,output,,,
template_12659_qs-gwlb.yaml,cloudformation,no_sourced_outputs,Out.ServerPorts,output,,,
template_12659_qs-gwlb.yaml,cloudformation,no_sourced_conditions,Cond.EncryptedProtocol,condition,,,
template_13424_sagemaker-studio-gpu.yaml,cloudformation,unused_parameters,ParsedStackId,parameter,,,
template_13835_stack-ecs-cluster.yaml,cloudformation,always_false_conditions,Cond.IsEc2Cluster,condition,,,
template_13835_stack-ecs-cluster.yaml,cloudformation,dead_resources,ECSInstanceRole,resource,,,
template_13835_stack-ecs-cluster.yaml,cloudformation,dead_resources,ECSInstanceProfile,resource,,,
template_13835_stack-ecs-cluster.yaml,cloudformation,dead_resources,LaunchConfiguration,resource,,,
template_13835_stack-ecs-cluster.yaml,cloudformation,dead_resources,AutoScalingGroup,resource,,,
template_13835_stack-ecs-cluster.yaml,cloudformation,dead_resources,CapacityProvider,resource,,,
template_13835_stack-ecs-cluster.yaml,cloudformation,circular_dependencies,LaunchConfiguration,resource,,"LaunchConfiguration,AutoScalingGroup,CapacityProvider,ECSCluster",
template_14064_api_with_swagger_authorizer_none.yaml,cloudformation,circular_dependencies,MyApiWithLambdaRequestAuth,resource,,"MyApiWithLambdaRequestAuth,MyFn",
template_14376_api_with_basic_custom_domain_http.json,cloudformation,unused_parameters,MyDomainName,parameter,,,
template_14376_api_with_basic_custom_domain_http.json,cloudformation,unused_parameters,MyDomainCert,parameter,,,
template_14528_basic_layer.json,cloudformation,always_true_conditions,Cond.TestCondition,condition,,,
template_14528_basic_layer.json,cloudformation,unused_parameters,DeletePolicy,parameter,,,
template_14528_basic_layer.json,cloudformation,no_sourced_conditions,Cond.TestCondition,condition,,,
template_15595_function_with_deployment_alarms_and_hooks.yaml,cloudformation,circular_dependencies,MyLambdaFunction,resource,,"FunctionErrorsAlarm,MyLambdaFunction",
template_15595_function_with_deployment_alarms_and_hooks.yaml,cloudformation,circular_dependencies,MyLambdaFunction,resource,,"AliasErrorsAlarm,MyLambdaFunction",
template_15595_function_with_deployment_alarms_and_hooks.yaml,cloudformation,circular_dependencies,NewVersionErrorsAlarm,resource,,"MyLambdaFunction,NewVersionErrorsAlarm",
template_17116_01_A4L_vpn_demo.yaml,cloudformation,unrestricted_ip_addresses,VPCASecurityGroup,resource,SecurityGroupIngress[0].CidrIp,,
template_17116_01_A4L_vpn_demo.yaml,cloudformation,unrestricted_ip_addresses,VPCBSecurityGroup,resource,SecurityGroupIngress[0].CidrIp,,
template_17330_aws-cloudformation.cf.yml,,unrestricted_ip_addresses,ContainerSecurityGroupdefault,resource,SecurityGroupIngress[0].CidrIp,,
template_19229_cloudformation.json,cloudformation,unused_conditions,Cond.DevMode,condition,,,
template_19229_cloudformation.json,cloudformation,cascading_provisioning_failures,EventsTopic,resource,,EmpirePolicy,
template_19229_cloudformation.json,cloudformation,cascading_provisioning_failures,EventsTopic,resource,,TaskDefinition,
template_19229_cloudformation.json,cloudformation,cascading_provisioning_failures,EventsTopic,resource,,Service,
template_19229_cloudformation.json,cloudformation,cascading_provisioning_failures,ApplicationLogGroup,resource,,DockerPolicy,
template_19229_cloudformation.json,cloudformation,cascading_provisioning_failures,ApplicationLogGroup,resource,,TaskDefinition,
template_19229_cloudformation.json,cloudformation,cascading_provisioning_failures,ApplicationLogGroup,resource,,Service,
template_19229_cloudformation.json,cloudformation,cascading_provisioning_failures,PostgresLogGroup,resource,,DockerPolicy,
template_19229_cloudformation.json,cloudformation,cascading_provisioning_failures,DaemonLogGroup,resource,,DockerPolicy,
template_19229_cloudformation.json,cloudformation,cascading_provisioning_failures,DaemonLogGroup,resource,,TaskDefinition,
template_19229_cloudformation.json,cloudformation,cascading_provisioning_failures,DaemonLogGroup,resource,,Service,
template_19229_cloudformation.json,cloudformation,hard_coded_secrets,DB,resource,MasterUserPassword,,
template_19229_cloudformation.json,cloudformation,unrestricted_ip_addresses,InstanceSecurityGroup,resource,SecurityGroupIngress[0].CidrIp,,
template_19229_cloudformation.json,cloudformation,unprotected_secrets,GitHubClientSecret,parameter,,,
template_19579_amplifyIdentityBrokerPostDeployment-cloudformation-template.json,cloudformation,unused_parameters,CloudWatchRule,parameter,,,
template_19579_amplifyIdentityBrokerPostDeployment-cloudformation-template.json,cloudformation,unused_parameters,functionamplifyIdentityBrokerClientsName,parameter,,,
template_21284_template.yml,cloudformation,always_true_conditions,Cond.CreateCodeBuildResources,condition,,,
template_21284_template.yml,cloudformation,always_false_conditions,Cond.CreateWebSiteS3Bucket,condition,,,
template_21284_template.yml,cloudformation,dead_resources,WebsiteS3Bucket,resource,,,
template_21284_template.yml,cloudformation,unused_parameters,RepositoryEnableIssues,parameter,,,
template_21284_template.yml,cloudformation,no_sourced_conditions,Cond.CreateCodeBuildResources,condition,,,
template_21284_template.yml,cloudformation,no_sourced_conditions,Cond.CreateWebSiteS3Bucket,condition,,,
template_21622_corestack_secops_readonly_028811834831.json,cloudformation,no_sourced_outputs,Out.ExternalId,output,,,
template_22695_negative1.yaml,cloudformation,unused_parameters,OperatorEmail,parameter,,,
template_23808_positive1.yaml,cloudformation,unrestricted_ip_addresses,InstanceSecurityGroup,resource,SecurityGroupIngress[0].CidrIp,,
template_25955_negative2.json,cloudformation,hard_coded_secrets,RedshiftCluster2,resource,MasterUserPassword,,
