template_name,template_language,smell_type,element_name,element_type,property_path,secondary_element,notes
group_00095_lessons_162_1-part,terraform,hard_coded_secrets,aws_db_instance.mydb,resource,password,,
group_01338_google_cluster,terraform,cascading_provisioning_failures,google_compute_address.current,resource,,Out.default_ingress_ip,
group_01601_manifests_modules_autoscaling_compute_cluster-autoscaler_.workshop_terraform,terraform,unused_parameters,variable.eks_cluster_id,parameter,,,
group_01601_manifests_modules_autoscaling_compute_cluster-autoscaler_.workshop_terraform,terraform,unused_parameters,variable.cluster_security_group_id,parameter,,,
group_01601_manifests_modules_autoscaling_compute_cluster-autoscaler_.workshop_terraform,terraform,unused_parameters,variable.tags,parameter,,,
group_01601_manifests_modules_autoscaling_compute_cluster-autoscaler_.workshop_terraform,terraform,unused_parameters,variable.resources_precreated,parameter,,,
group_01606_manifests_modules_exposing_load-balancer_.workshop_terraform,terraform,unused_parameters,variable.eks_cluster_id,parameter,,,
group_01606_manifests_modules_exposing_load-balancer_.workshop_terraform,terraform,unused_parameters,variable.cluster_security_group_id,parameter,,,
group_01606_manifests_modules_exposing_load-balancer_.workshop_terraform,terraform,unused_parameters,variable.tags,parameter,,,
group_01606_manifests_modules_exposing_load-balancer_.workshop_terraform,terraform,unused_parameters,variable.resources_precreated,parameter,,,
group_01730_modules_data_factory_data_factory_integration_runtime_azure_ssis,terraform,unused_parameters,variable.base_tags,parameter,,,
group_01730_modules_data_factory_data_factory_integration_runtime_azure_ssis,terraform,unused_parameters,data.administrator_password,parameter,,,
group_02116_deprecated_tgw_spoke,terraform,always_true_conditions,condition_1,condition,,,
group_04940_test-cases_terraform_azure_networking_vmss_public_rdp_lb_opened,terraform,unused_parameters,locals.environment,parameter,,,
group_05247_deployment_azure_azure,terraform,hard_coded_secrets,db_password,parameter,,,
group_05247_deployment_azure_azure,terraform,unprotected_secrets,db_password,parameter,,,
group_05247_deployment_azure_azure,terraform,unrestricted_ip_addresses,azurerm_network_security_rule.controller_ssh,resource,,,
group_05247_deployment_azure_azure,terraform,unrestricted_ip_addresses,azurerm_network_security_rule.controller_nic_ssh,resource,,,
group_05247_deployment_azure_azure,terraform,unrestricted_ip_addresses,azurerm_network_security_rule.worker_ssh,resource,,,
group_05247_deployment_azure_azure,terraform,unrestricted_ip_addresses,azurerm_network_security_rule.worker_nic_ssh,resource,,,
group_05730_scenarios_workload-genai_terraform_modules_private_endpoint,terraform,unused_parameters,variable.private_dns,parameter,,,
group_06514_terraform_aws_compute_utility,terraform,unrestricted_ip_addresses,aws_security_group.utility,resource,ingress[1].cidr_blocks[0],,
group_06514_terraform_aws_compute_utility,terraform,unprotected_secrets,atlas_token,parameter,,,
group_07103_alicloud_7.0_ha,terraform,unused_parameters,data.current_region_ds,parameter,,,
group_07103_alicloud_7.0_ha,terraform,unused_parameters,data.current,parameter,,,
group_07103_alicloud_7.0_ha,terraform,no_sourced_outputs,Out.Username,output,,,
group_07103_alicloud_7.0_ha,terraform,unrestricted_ip_addresses,alicloud_security_group_rule.allow_all_tcp_ingress,resource,cidr_ip,,
group_07103_alicloud_7.0_ha,terraform,unprotected_secrets,access_key,parameter,,,
group_07103_alicloud_7.0_ha,terraform,unprotected_secrets,secret_key,parameter,,,
group_09084_infra_modules_providers_azure_app-monitoring,terraform,cascading_provisioning_failures,azurerm_monitor_metric_alert.appmonitoring,resource,,Out.rule_resource_id,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unused_parameters,locals.validate_gateways_provision_address_type,parameter,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unused_parameters,locals.validate_admin_shell,parameter,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unused_parameters,locals.regex_key_name_result,parameter,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unused_parameters,locals.regex_sic_result,parameter,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unused_parameters,locals.regex_gateway_password_hash,parameter,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unused_parameters,locals.regex_gateway_maintenance_mode_password_hash,parameter,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unused_parameters,locals.regex_valid_cidr_range,parameter,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unused_parameters,locals.tags_asg_format,parameter,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,no_sourced_outputs,Out.Deployment,output,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unprotected_secrets,access_key,parameter,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unprotected_secrets,secret_key,parameter,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unprotected_secrets,gateway_password_hash,parameter,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unprotected_secrets,gateway_maintenance_mode_password_hash,parameter,,,
group_09227_deprecated_terraform_aws_R80.40_autoscale-gwlb,terraform,unrestricted_ip_addresses,aws_security_group.permissive_sg,resource,ingress,,
group_09816_CHAP15_cycle,terraform,circular_dependencies,azurerm_linux_virtual_machine.vm,resource,,"azurerm_network_interface.nic, azurerm_linux_virtual_machine.vm",
