template_name,template_path,template_language,label,detected_smells,always_true_conditions,always_false_conditions,dead_resources,unused_parameters,unused_conditions,no_sourced_outputs,no_sourced_conditions,circular_dependencies,cascading_provisioning_failures,hard_coded_secrets,unrestricted_ip_addresses,unprotected_secrets,parse_time,dependency_graph_build_time,dependency_graph_analysis_time,dependency_graph_analysis_result
template_00376_test.json,data/cloudformation_collected_templates_new\template_00376_test.json,cloudformation,smelly,hard_coded_secrets,0,0,0,0,0,0,0,0,0,1,0,0,0.014360189437866211,0.0,0.0,"{'hard_coded_secrets': [{'resource_id': 'd14557cd-bdf0-4d24-8179-90b0966e826d', 'resource_name': 'MyDB', 'resource_type': 'AWS::RDS::DBInstance', 'property_path': 'MasterUserPassword'}]}"
template_00508_TheLambdalithStack.yml,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,cloudformation,smelly,unused_parameters,0,0,0,1,0,0,0,0,0,0,0,0,0.06380343437194824,0.0009975433349609375,0.020000934600830078,"{'unused_parameters': [{'name': 'AssetParameters942dc8810017b8ceebf761d04a03cd725053f34f261656610cacf5346246bcd9ArtifactHashE439B6C2', 'id': 'e463f844-c972-4256-b063-90dfbca13e87'}]}"
template_00558_organizationAccountAccessRole.yml,data/cloudformation_collected_templates_new\template_00558_organizationAccountAccessRole.yml,cloudformation,clean,,0,0,0,0,0,0,0,0,0,0,0,0,0.014131307601928711,0.0,0.0,
template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,data/cloudformation_collected_templates_new\template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,cloudformation,smelly,hard_coded_secrets,0,0,0,0,0,0,0,0,0,1,0,0,0.014999151229858398,0.0,0.0,"{'hard_coded_secrets': [{'parameter_id': '0e209ccd-0a83-45fc-b918-63044945ced8', 'parameter_name': 'AmplifyAppBasicAuthConfigPassword'}]}"
template_00946_api_gateway_stage_does_have_access_logging.yaml,data/cloudformation_collected_templates_new\template_00946_api_gateway_stage_does_have_access_logging.yaml,cloudformation,clean,,0,0,0,0,0,0,0,0,0,0,0,0,0.015043258666992188,0.0,0.0,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,data/cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,clean,,0,0,0,0,0,0,0,0,0,0,0,0,0.01463460922241211,0.0,0.0,
template_01388_test.template.yaml,data/cloudformation_collected_templates_new\template_01388_test.template.yaml,cloudformation,clean,,0,0,0,0,0,0,0,0,0,0,0,0,0.01799631118774414,0.0,0.0,
template_01425_database.yml,data/cloudformation_collected_templates_new\template_01425_database.yml,cloudformation,smelly,unused_parameters;cascading_provisioning_failures,0,0,0,1,0,0,0,0,1,0,0,0,0.039998769760131836,0.0,0.06927847862243652,"{'unused_parameters': [{'name': 'Namespace', 'id': 'a964b352-9211-465d-a707-96f7860b5cac'}, {'name': 'EnvironmentName', 'id': '06bf0831-5e6f-4cf8-a907-250884d76c82'}], 'cascading_provisioning_failures': [{'gated_resource': 'DBCluster', 'dependent_resource': 'DBInstanceClustered', 'condition': 'Cond.IsClustered'}]}"
template_01773_sc-portfolio-vpc.json,data/cloudformation_collected_templates_new\template_01773_sc-portfolio-vpc.json,cloudformation,clean,,0,0,0,0,0,0,0,0,0,0,0,0,0.022936105728149414,0.0,0.02303338050842285,
template_01779_sc-workspaces-ra.json,data/cloudformation_collected_templates_new\template_01779_sc-workspaces-ra.json,cloudformation,smelly,no_sourced_outputs,0,0,0,0,0,1,0,0,0,0,0,0,0.01942157745361328,0.0,0.0,"{'no_sourced_outputs': [{'name': 'Out.LogonURL', 'id': 'bb7fd600-1a03-44f2-bb3e-1dc55f310a45'}]}"
