template_name,template_path,template_language,label,detected_smells,always_true_conditions,always_false_conditions,dead_resources,unused_parameters,unused_conditions,no_sourced_outputs,no_sourced_conditions,circular_dependencies,cascading_provisioning_failures,hard_coded_secrets,unrestricted_ip_addresses,unprotected_secrets,parse_time,dependency_graph_build_time,dependency_graph_analysis_time,dependency_graph_analysis_result
group_00006_modules__user_data,data/terraform_collected_templates_new\group_00006_modules__user_data/main.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/outputs.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/variables.tf|data/terraform_collected_templates_new\group_00006_modules__user_data/versions.tf,terraform,clean,,0,0,0,0,0,0,0,0,0,0,0,0,0.011999130249023438,0.0010027885437011719,0.0019991397857666016,
group_00095_lessons_162_1-part,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,terraform,smelly,hard_coded_secrets,0,0,0,0,0,0,0,0,0,1,0,0,0.041437387466430664,0.0,0.0,"{'hard_coded_secrets': [{'resource_id': 'c1092b87-6d75-4eee-85bf-2a28e536d2f2', 'resource_name': 'aws_db_instance.mydb', 'resource_type': 'aws_db_instance', 'property_path': 'password'}]}"
group_00271_Terraform-AWS-Services-Creation_EKS-Fargate,data/terraform_collected_templates_new\group_00271_Terraform-AWS-Services-Creation_EKS-Fargate/main.tf|data/terraform_collected_templates_new\group_00271_Terraform-AWS-Services-Creation_EKS-Fargate/variables.tf,terraform,clean,,0,0,0,0,0,0,0,0,0,0,0,0,0.016659021377563477,0.0,0.0,
group_00653_examples_island_cluster_with_vm_router,data/terraform_collected_templates_new\group_00653_examples_island_cluster_with_vm_router/main.tf|data/terraform_collected_templates_new\group_00653_examples_island_cluster_with_vm_router/outputs.tf|data/terraform_collected_templates_new\group_00653_examples_island_cluster_with_vm_router/router.tf|data/terraform_collected_templates_new\group_00653_examples_island_cluster_with_vm_router/vars.tf|data/terraform_collected_templates_new\group_00653_examples_island_cluster_with_vm_router/versions.tf,terraform,clean,,0,0,0,0,0,0,0,0,0,0,0,0,0.09501886367797852,0.0,0.0,
group_01336_azurerm_cluster,data/terraform_collected_templates_new\group_01336_azurerm_cluster/ingress.tf|data/terraform_collected_templates_new\group_01336_azurerm_cluster/kubeconfig.tf|data/terraform_collected_templates_new\group_01336_azurerm_cluster/log_analytics.tf|data/terraform_collected_templates_new\group_01336_azurerm_cluster/main.tf|data/terraform_collected_templates_new\group_01336_azurerm_cluster/moved.tf|data/terraform_collected_templates_new\group_01336_azurerm_cluster/network.tf|data/terraform_collected_templates_new\group_01336_azurerm_cluster/outputs.tf|data/terraform_collected_templates_new\group_01336_azurerm_cluster/service_principal.tf|data/terraform_collected_templates_new\group_01336_azurerm_cluster/variables.tf|data/terraform_collected_templates_new\group_01336_azurerm_cluster/versions.tf,terraform,smelly,always_false_conditions;dead_resources;cascading_provisioning_failures,0,1,1,0,0,0,0,0,1,0,0,0,0.02900385856628418,0.0,0.009001493453979492,"{'always_false_conditions': [{'name': 'condition_4', 'id': 'ff8223e0-6f7e-4be3-ac7e-9689ce7c6fb7'}], 'dead_resources': [{'name': 'azurerm_virtual_network.current', 'id': '1d7a7724-496b-42e2-9aba-cc8c2a800be0', 'type': 'azurerm_virtual_network'}, {'name': 'azurerm_subnet.current', 'id': '41f5a7eb-1923-404f-afab-85985fa03d27', 'type': 'azurerm_subnet'}], 'cascading_provisioning_failures': [{'gated_resource': 'azurerm_public_ip.current', 'dependent_resource': 'Out.default_ingress_ip', 'condition': 'condition_1'}, {'gated_resource': 'azurerm_virtual_network.current', 'dependent_resource': 'Out.aks_vnet', 'condition': 'condition_4'}]}"
group_01338_google_cluster,data/terraform_collected_templates_new\group_01338_google_cluster/cluster_role_binding.tf|data/terraform_collected_templates_new\group_01338_google_cluster/ingress.tf|data/terraform_collected_templates_new\group_01338_google_cluster/kubeconfig.tf|data/terraform_collected_templates_new\group_01338_google_cluster/main.tf|data/terraform_collected_templates_new\group_01338_google_cluster/moved.tf|data/terraform_collected_templates_new\group_01338_google_cluster/network.tf|data/terraform_collected_templates_new\group_01338_google_cluster/node_pool.tf|data/terraform_collected_templates_new\group_01338_google_cluster/outputs.tf|data/terraform_collected_templates_new\group_01338_google_cluster/provider.tf|data/terraform_collected_templates_new\group_01338_google_cluster/service_account.tf|data/terraform_collected_templates_new\group_01338_google_cluster/variables.tf|data/terraform_collected_templates_new\group_01338_google_cluster/versions.tf,terraform,smelly,cascading_provisioning_failures,0,0,0,0,0,0,0,0,1,0,0,0,0.1994643211364746,0.0,0.02050614356994629,"{'cascading_provisioning_failures': [{'gated_resource': 'google_compute_address.current', 'dependent_resource': 'Out.default_ingress_ip', 'condition': 'condition_1'}]}"
group_01409_tflib_imagetest_tests_k3s-in-docker,data/terraform_collected_templates_new\group_01409_tflib_imagetest_tests_k3s-in-docker/main.tf,terraform,clean,,0,0,0,0,0,0,0,0,0,0,0,0,0.021003246307373047,0.0010008811950683594,0.0,
group_01601_manifests_modules_autoscaling_compute_cluster-autoscaler_.workshop_terraform,data/terraform_collected_templates_new\group_01601_manifests_modules_autoscaling_compute_cluster-autoscaler_.workshop_terraform/main.tf|data/terraform_collected_templates_new\group_01601_manifests_modules_autoscaling_compute_cluster-autoscaler_.workshop_terraform/outputs.tf|data/terraform_collected_templates_new\group_01601_manifests_modules_autoscaling_compute_cluster-autoscaler_.workshop_terraform/vars.tf,terraform,smelly,unused_parameters,0,0,0,1,0,0,0,0,0,0,0,0,0.036002397537231445,0.0,0.0010042190551757812,"{'unused_parameters': [{'name': 'variable.eks_cluster_id', 'id': 'cb5afeac-7061-41f8-8db5-126757cab3ee'}, {'name': 'variable.cluster_security_group_id', 'id': '3a43a6d6-487b-4e7a-ac3c-4faac5f4de42'}, {'name': 'variable.tags', 'id': '2be13fe6-8d05-4847-8d7a-7e9fdc0f81db'}, {'name': 'variable.resources_precreated', 'id': '1ea9af2f-fcb3-4b62-808a-f04f8804af57'}]}"
group_01606_manifests_modules_exposing_load-balancer_.workshop_terraform,data/terraform_collected_templates_new\group_01606_manifests_modules_exposing_load-balancer_.workshop_terraform/main.tf|data/terraform_collected_templates_new\group_01606_manifests_modules_exposing_load-balancer_.workshop_terraform/outputs.tf|data/terraform_collected_templates_new\group_01606_manifests_modules_exposing_load-balancer_.workshop_terraform/vars.tf,terraform,smelly,unused_parameters,0,0,0,1,0,0,0,0,0,0,0,0,0.03847646713256836,0.0,0.0,"{'unused_parameters': [{'name': 'variable.eks_cluster_id', 'id': 'c1ed9522-a175-4e5f-8d30-f53e23be040d'}, {'name': 'variable.cluster_security_group_id', 'id': 'a3ffd367-ed33-4cbf-88a3-f7698cf9e3cb'}, {'name': 'variable.tags', 'id': 'b40fe7e1-eaee-41c7-a619-6121bf991087'}, {'name': 'variable.resources_precreated', 'id': '0151a0da-ee52-41be-acbd-f4a4c3e60a22'}]}"
group_01730_modules_data_factory_data_factory_integration_runtime_azure_ssis,data/terraform_collected_templates_new\group_01730_modules_data_factory_data_factory_integration_runtime_azure_ssis/main.tf|data/terraform_collected_templates_new\group_01730_modules_data_factory_data_factory_integration_runtime_azure_ssis/module.tf|data/terraform_collected_templates_new\group_01730_modules_data_factory_data_factory_integration_runtime_azure_ssis/output.tf|data/terraform_collected_templates_new\group_01730_modules_data_factory_data_factory_integration_runtime_azure_ssis/variables.tf,terraform,smelly,unused_parameters;no_sourced_conditions,0,0,0,1,0,0,1,0,0,0,0,0,0.060338497161865234,0.0010676383972167969,0.002022981643676758,"{'unused_parameters': [{'name': 'variable.base_tags', 'id': '97ac1d7f-264f-49f0-bb1a-0775765f5c5f'}, {'name': 'data.administrator_password', 'id': '0a3f5f5a-19b3-4d10-b1f5-23fa686a1262'}], 'no_sourced_conditions': [{'name': 'condition_2', 'id': '38789412-87b6-49d1-b67b-70663a6f24c6'}]}"
